,Ree,Rgy,Length
229,0.6173436895792593,0.18239820998587636,30.45
230,0.5836460062839975,0.1921422182953003,30.45
231,0.6409481020066659,0.20023706351395257,30.45
232,0.5882296840634915,0.18409083682232902,30.45
233,0.5774778436457052,0.17952816112011113,30.45
234,0.5954371234552428,0.19986197260049182,30.45
235,0.5237510487459125,0.2006202260996793,30.45
236,0.5565104407363234,0.17914629715718522,30.45
237,0.48032407322810183,0.18492499368273,30.45
238,0.7655439761381162,0.23216503838610314,27.901740499673327
239,0.5987884956519928,0.20048241262162284,30.45
240,0.398300869670054,0.11700634557332268,30.45
241,0.25738785311954954,0.09024404621115813,30.45
242,0.4199261096585543,0.14467994028321338,30.45
243,0.42987225043361554,0.11057952469236186,30.45
244,0.3438396052494038,0.11566075167957807,30.45
245,0.4048251831550907,0.14919232535222662,30.45
246,0.4480770011436008,0.1754033144078562,30.45
247,0.6178979155784223,0.20485887605210967,30.45
248,0.5388175379555988,0.18299312231405238,30.45
249,0.5086524128303064,0.13874244679606001,30.45
250,0.39919233043466185,0.13566636070976998,30.45
251,0.26889516639108996,0.09358376012357487,30.45
252,0.3068966862542217,0.07846650521113592,30.45
253,0.20755078423806123,0.07654582255579233,30.45
254,0.2794120153953609,0.08978641594361651,30.45
255,0.19041436078899296,0.06688770071838694,30.45
256,0.10528676379660916,0.036541785648302016,30.45
257,0.1308245975367607,0.06050335067013546,30.45
258,0.11077090078470293,0.06050591084683968,30.45
259,0.15308327062988814,0.06918793670798165,30.45
260,0.1931602034556518,0.0829815655852366,30.45
261,0.13341543513957307,0.07370219814895618,30.45
262,0.2660897406088706,0.08521942664891458,30.45
263,0.14257434307727632,0.057262057529763974,30.45
264,0.21649243749721866,0.06526872855899943,30.45
265,0.08961540022872014,0.06336069100905252,30.45
266,0.21921191875301546,0.0609106658662335,30.45
267,0.1445004909721749,0.054046025336977284,30.45
268,0.15530322198708493,0.04801316221694321,30.45
269,0.13692183973857075,0.045626293138285444,30.45
270,0.1539408866995074,0.05025403113073482,30.45
271,0.05850653864424969,0.05309271699267301,30.45
272,0.1867844286042826,0.05982838927956135,30.45
273,0.04589630495689224,0.05621333676029607,30.45
274,0.16428377045958664,0.05241007083830099,30.45
275,0.31064882733303184,0.11475701065611192,30.45
276,0.02616491950735214,0.051137582430353976,30.45
277,0.08858105758226636,0.06996107835206114,30.45
278,0.16104633442605928,0.04844588160168036,30.45
279,0.10775862068965518,0.036540868777007934,30.45
280,0.1525663869798697,0.05307320988481706,30.45
281,0.15152733025691092,0.04596203971081868,30.45
282,0.27633234847775573,0.09001696336861778,30.45
283,0.29190194280229664,0.11753056240126956,30.45
284,0.13380957317739428,0.07937150144749727,30.45
285,0.19048348925770303,0.09317077973057852,30.45
286,0.14810005839143897,0.04401152823298042,30.45
287,0.11576882361123234,0.03497284487547913,30.45
288,0.17363428074393095,0.05843125792367046,30.45
289,0.23609846203463344,0.0829006878916402,30.45
290,0.10677674490293931,0.07313569284851745,30.45
291,0.10788072681459689,0.05268104444796182,30.45
292,0.3123815939085473,0.11694876671629426,30.45
293,0.539989094050751,0.18717792075343323,30.45
294,0.415925372109184,0.12139813202900944,30.45
295,0.3249413012928482,0.11474637648179223,30.45
296,0.34006653378039603,0.12317609225709791,30.45
297,0.36029330216629635,0.11913392204276727,30.45
298,0.31569352248095295,0.12078518565604013,30.45
299,0.29753056269138395,0.16184817074504218,30.45
300,0.18047521957172594,0.1053324497272694,30.45
301,0.19959616521733092,0.10051573560466956,30.45
302,0.08274074043820351,0.07113117559599838,30.45
303,0.09136131883602656,0.06342684534307695,30.45
304,0.12336633087203722,0.039001593712129794,30.45
305,0.14676056697531908,0.04493153408871638,30.45
306,0.14367816091954022,0.050782095258838436,30.45
307,0.1853693746735267,0.07371464644899968,30.45
308,0.21355348980587863,0.06266639385259028,30.45
309,0.06429579272445439,0.04638526595973612,30.45
310,0.10275546179444164,0.034694090924629654,30.45
311,0.12746040997921,0.07060540661827563,30.45
312,0.08015445069690737,0.0644623306907427,30.45
313,0.14294322944564986,0.07487403113524747,30.45
314,0.09461765658141304,0.08137269473172176,30.45
315,0.13242495792861186,0.04081514244165395,30.45
316,0.10326668615300756,0.037726876393223696,30.45
317,0.12859158544890875,0.048317432580537195,30.45
318,0.06263626650109659,0.04747638734588206,30.45
319,0.12673531440094896,0.03950469889209877,30.45
320,0.1551335843373458,0.07093304153431049,30.45
321,0.2508076644057869,0.08235502349798174,30.45
322,0.21490549662738018,0.10479586504606891,30.45
323,0.13547186763592042,0.10833641904436225,30.45
324,0.21157151198776994,0.12758801986345764,30.45
325,0.10788072681459689,0.07319481006706291,30.45
326,0.08540289910248994,0.07394447337056387,30.45
327,0.14324819050630522,0.13738526391387382,28.90936392318784
328,0.08600005234893343,0.12113209172243353,29.12
329,0.10807679459757139,0.1308195287177236,29.12
330,0.05960179110759107,0.1502125832307503,27.140913532336796
331,0.17413683388783396,0.12258431115956225,29.12
332,0.27498693822846604,0.13402215697855466,29.12
333,0.18923097510440487,0.13865721421846372,29.202242854563487
334,0.03846039262415113,0.0755700443883973,29.12
335,0.0750750886156599,0.07912911421677213,29.12
336,0.14176297721010625,0.09129586716896308,29.12
337,0.2955493472931386,0.09275969493723733,29.12
338,0.16136620584872394,0.0679850564723631,29.12
339,0.20803702654377404,0.09390270951296954,29.12
340,0.1216224403966578,0.09031484409953766,29.12
341,0.11348681447077119,0.0975123610463714,29.12
342,0.246577157719249,0.12017040356279045,29.12
343,0.1808188610008096,0.12449247081729387,29.12
344,0.19355777206626537,0.08547474998825721,29.12
345,0.0750750886156599,0.06350501732603739,29.12
346,0.18794232855858511,0.07339221873888352,29.12
347,0.13737748978603187,0.07599943326038619,29.12
348,0.21686036031011524,0.0719592424869959,29.12
349,0.0971405546100888,0.060751197947386676,29.12
350,0.35002673422679903,0.1358733047583665,29.12
351,0.33805486367120957,0.11955122036834004,29.12
352,0.09104191771028575,0.0654977653011458,29.12
353,0.1254418062012587,0.07034879784890855,29.12
354,0.07353052166774925,0.08595987599172998,29.12
355,0.22363435101693327,0.11859482051310091,29.12
356,0.31819618620764717,0.11227940289551733,29.12
357,0.30822144714906125,0.11659451105988039,29.12
358,0.34673246391749907,0.10335872370801896,29.12
359,0.3720999721191954,0.11840992880834016,29.12
360,0.23497879210027156,0.10729725283595003,29.12
361,0.31314673557545847,0.15218869991387632,29.12
362,0.3070608458621578,0.09623502654619846,29.12
363,0.15687848019361128,0.09245300541316326,29.12
364,0.31444711692101845,0.10624058303106867,29.12
365,0.3377907140471607,0.10386628517279717,29.12
366,0.2676551389786684,0.146439241815333,29.12
367,0.21768202632365372,0.1249726809538979,29.12
368,0.3539754142872304,0.12232960771120618,29.12
369,0.4311552629785774,0.14339669251202858,29.12
370,0.39895765998707167,0.15353636201919144,29.12
371,0.313472336636201,0.12405711297627503,29.12
372,0.2494563880742661,0.07140965828787958,29.12
373,0.350245250573685,0.12642583848274053,29.12
374,0.42851493688583603,0.13581848014919415,29.12
375,0.47481655112892535,0.18733622198499805,29.12
376,0.4462411529245015,0.14799104369179794,29.12
377,0.2858551167195561,0.12049227941680196,29.12
378,0.36754854098514794,0.1237995759840773,29.12
379,0.41104811217527126,0.13648487617407853,29.12
380,0.24683559732243734,0.06904529455568406,29.12
381,0.1919701216946935,0.0643738436165532,29.12
382,0.1436395306776007,0.062402633197073724,29.12
383,0.2426149836268648,0.0803372436644221,29.12
384,0.15225853902393074,0.10106586504034129,29.12
385,0.36754854098514794,0.15784291932085096,29.12
386,0.34180614211008636,0.14799240440138317,29.12
387,0.12003943442958866,0.08330424795887988,29.12
388,0.28789982251412466,0.09647966839994718,29.12
389,0.33688348578211685,0.12017532230839217,29.12
390,0.28696817722154516,0.11559457853006774,29.12
391,0.3178353057845742,0.13546418915777964,29.12
392,0.24166705951045164,0.08301772139560086,29.12
393,0.2666527711385764,0.11913060356119101,29.12
394,0.11778748979567914,0.06219447200467997,29.12
395,0.1693101023577914,0.11725853184592462,29.12
396,0.2325239260104504,0.11619992155154868,29.12
397,0.36416767084114304,0.1250274502307502,29.12
398,0.3435550935620344,0.116811858909717,29.12
399,0.3813074030585946,0.13673324967173622,29.12
400,0.2727519920893418,0.12649082479082072,29.12
401,0.3422907886803196,0.12363491620119577,29.12
402,0.3494798456043139,0.12072218653779436,29.12
403,0.31196358297269916,0.08806114967222621,29.12
404,0.31638766781829913,0.11256138163890193,29.12
405,0.09488270759966841,0.08940850760230117,29.12
406,0.2799958846886941,0.10994155645924412,29.12
407,0.41281260741931575,0.15663407838571392,29.12
408,0.4160127530425617,0.13393108384393224,29.12
409,0.39095057435685815,0.13045501596876877,29.12
410,0.38836526199358395,0.17762472791611558,29.12
411,0.2731257531308573,0.10950626625393454,29.12
412,0.1774015036183975,0.11645423125803271,29.12
413,0.29294915587171094,0.11467857373622699,29.12
414,0.1989507474506324,0.09647705966691551,29.12
415,0.3323101946582519,0.12332724044128739,29.12
416,0.36643665024385375,0.14514735154424555,29.12
417,0.42354630628356815,0.14868593212409953,29.12
418,0.44877720109564667,0.1829964607249504,29.12
419,0.4792273273869731,0.21101230919148317,29.12
420,0.3982218407344118,0.1567402726472809,29.12
421,0.42624733043813007,0.15477607258381992,29.12
422,0.42639688566200096,0.20162373916089052,29.12
423,0.13110814263238496,0.06750370979594326,29.12
424,0.12503452653462294,0.04487739947888328,29.12
425,0.06387923521671743,0.03509486334656335,29.12
426,0.053683267073037784,0.03792193231290306,29.12
427,0.15359270286992516,0.059605464738135175,29.12
428,0.15687848019361128,0.0655904331609022,29.12
429,0.14723436224459893,0.06323769242498656,29.12
430,0.2892696245075082,0.11316101981895095,29.12
431,0.06565126050420168,0.055762917629329306,29.12
432,0.15192316738537617,0.05645972846774081,29.12
433,0.24092720672827575,0.11444014462838409,29.12
434,0.1604151197304116,0.11787930087656917,29.12
435,0.1774015036183975,0.0704014606735621,29.12
436,0.10700963609211929,0.08087065141260555,29.12
437,0.18868719388604363,0.07000991413483491,29.12
438,0.14221202165813596,0.0767182340400283,29.12
439,0.38205871056172935,0.1500148322532136,23.44
440,0.18485261070635195,0.05873629032989183,23.44
441,0.16109009670427918,0.08022575191675294,23.44
442,0.3288688242199235,0.12655574359836771,23.44
443,0.3923298573368751,0.15573091815050472,23.44
444,0.3866828874859529,0.16014871101458553,23.44
445,0.45568035838077536,0.1845144809913454,23.44
446,0.5869827208498111,0.20774879016000955,23.44
447,0.6235074211536159,0.22815223250923705,23.44
448,0.834810951766082,0.2651455582505747,21.654146761743316
449,0.7519540697444591,0.2449196094327517,23.44
450,0.6202563360949828,0.21156264519899853,23.44
451,0.6604680509290681,0.20662524588673487,23.44
452,0.7418980321754751,0.25179496709852367,21.47483466365149
453,0.41140342694671156,0.20536130055539253,23.44
454,0.6328446372185638,0.21838886181470668,23.44
455,0.7527513979038557,0.23410392475901365,23.44
456,0.8789639384973433,0.2843216659881276,22.32575323263041
457,0.9038628282480156,0.28488240172003565,23.479678436464837
458,0.6994172745635792,0.2129923943513446,23.44
459,0.25937335295360114,0.11655412226067868,23.44
460,0.37293623961975697,0.1411853868874618,23.44
461,0.3914794917882365,0.10716647323034363,23.44
462,0.07541667888081778,0.05013842940207253,23.44
463,0.23558283179223938,0.1193523220660554,23.44
464,0.24455973133324632,0.10131469539426265,23.44
465,0.30401435182890835,0.11704333495422893,23.44
466,0.25730934121185445,0.1302502161663596,23.44
467,0.2850037106232928,0.1405452502957546,23.44
468,0.3583532438064103,0.15406260766074267,23.44
469,0.4801339351900892,0.17064463799843613,23.44
470,0.6668954636808986,0.21100610433332748,23.44
471,0.5933074992015952,0.19201722270802335,23.44
472,0.5901159349043791,0.1969520303952705,23.44
473,0.41650222247795715,0.14275033602080692,23.44
474,0.21926840074923373,0.09157490065692962,23.44
475,0.326087212260959,0.13482479294604977,23.44
476,0.39772914596246534,0.16318194373407469,23.44
477,0.5705139041376815,0.20186522715603705,23.44
478,0.5569165575460063,0.1849106402377239,23.44
479,0.6392717484142216,0.20189881605108723,23.44
480,0.3397022265955873,0.1038667834297159,23.44
481,0.08665742320819113,0.05657028674870931,23.44
482,0.22644634907560568,0.11491897373751463,23.44
483,0.25609765241438975,0.15633398300914234,23.44
484,0.3489295096070393,0.15128572407857194,23.44
485,0.2621000860086591,0.14498978707754157,23.44
486,0.30181397778028396,0.13443947362270195,23.44
487,0.27997013651877134,0.14779134736414426,23.44
488,0.22038016284685022,0.15255650515855784,23.44
489,0.18676575466779408,0.16733375716993856,23.44
490,0.40842239979843187,0.1640016388202118,23.44
491,0.5300168350545067,0.18762082364857302,23.44
492,0.6930350143116782,0.2276573120876807,23.44
