panel,series,Rg_over_lc,Re_over_lc,position_class
10 C,model,0.25168,0.781349,4
10 C,model,0.124013,0.204687,0
10 C,model,0.123125,0.050124,0
10 C,model,0.0822037,0.0723936,0
10 C,model,0.0889237,0.192916,0
10 C,model,0.181563,0.358268,4
10 C,model,0.152963,0.49247,0
10 C,model,0.254965,0.858819,3
10 C,model,0.118713,0.262678,0
10 C,model,0.117361,0.11709,0
10 C,model,0.248814,0.742931,4
10 C,model,0.120375,0.2023,0
10 C,model,0.125459,0.0286681,0
10 C,model,0.0838411,0.102123,0
10 C,model,0.0959606,0.200683,0
10 C,model,0.192065,0.392931,4
10 C,model,0.167273,0.533352,4
10 C,model,0.259851,0.863305,3
10 C,model,0.112125,0.237311,0
10 C,model,0.119478,0.122471,0
10 C,model,0.238549,0.671673,4
10 C,model,0.120412,0.170046,0
10 C,model,0.125084,0.0905723,0
10 C,model,0.0848317,0.131097,0
10 C,model,0.104741,0.145703,0
10 C,model,0.20445,0.470393,4
10 C,model,0.180349,0.564763,4
10 C,model,0.252187,0.854008,3
10 C,model,0.106396,0.191807,0
10 C,model,0.115311,0.121803,0
10 C,model,0.230697,0.620997,3
10 C,model,0.110138,0.1586,0
10 C,model,0.121902,0.0788059,0
10 C,model,0.0899376,0.239421,0
10 C,model,0.105363,0.146841,0
10 C,model,0.223443,0.55034,4
10 C,model,0.190338,0.549909,4
10 C,model,0.248727,0.84595,3
10 C,model,0.107891,0.142273,0
10 C,model,0.119945,0.119885,0
10 C,model,0.217699,0.518966,3
10 C,model,0.106288,0.142307,0
10 C,model,0.123127,0.131563,0
10 C,model,0.0899289,0.242497,0
10 C,model,0.103372,0.111756,0
10 C,model,0.2281,0.598915,4
10 C,model,0.206396,0.616297,4
10 C,model,0.253546,0.846628,3
10 C,model,0.1072,0.154225,0
10 C,model,0.119926,0.173975,0
10 C,model,0.203875,0.480534,3
10 C,model,0.103669,0.0936234,0
10 C,model,0.12194,0.133366,0
10 C,model,0.0857021,0.196361,0
10 C,model,0.106616,0.174957,0
10 C,model,0.229228,0.650943,4
10 C,model,0.208837,0.654419,4
10 C,model,0.255313,0.873965,3
10 C,model,0.107539,0.168818,0
10 C,model,0.118717,0.170555,0
10 C,model,0.189683,0.388084,3
10 C,model,0.101678,0.0450938,0
10 C,model,0.12319,0.164153,0
10 C,model,0.0878004,0.215567,0
10 C,model,0.106742,0.215446,0
10 C,model,0.240392,0.721372,4
10 C,model,0.217822,0.675707,4
10 C,model,0.246519,0.829477,3
10 C,model,0.111646,0.11914,0
10 C,model,0.122699,0.203884,0
10 C,model,0.179375,0.348205,3
10 C,model,0.0951334,0.075804,0
10 C,model,0.12772,0.153966,0
10 C,model,0.0870054,0.180596,0
10 C,model,0.0989664,0.232217,0
10 C,model,0.243538,0.750273,4
10 C,model,0.221542,0.681116,4
10 C,model,0.245236,0.763754,3
10 C,model,0.104259,0.0822117,0
10 C,model,0.123771,0.262731,0
10 C,model,0.166501,0.299783,3
10 C,model,0.100176,0.0393594,0
10 C,model,0.134515,0.118603,0
10 C,model,0.0851449,0.175312,0
10 C,model,0.0996308,0.22112,0
10 C,model,0.243716,0.77056,4
10 C,model,0.229257,0.658661,4
10 C,model,0.236424,0.701926,3
10 C,model,0.100816,0.0835926,0
10 C,model,0.116003,0.201413,0
10 C,model,0.155045,0.209463,3
10 C,model,0.10092,0.0507867,0
10 C,model,0.135086,0.16542,0
10 C,model,0.0803009,0.15831,0
