panel,series,tau_tr_min,probability_density_per_min,fitted_tau_tr_min,contour_length_mm
B,model N=40 (lc = 20 mm),0.38258,1.15624,1.35872,
B,model N=40 (lc = 20 mm),0.456482,0.915216,1.35872,
B,model N=40 (lc = 20 mm),0.544659,0.609126,1.35872,
B,model N=40 (lc = 20 mm),0.649869,0.453789,1.35872,
B,model N=40 (lc = 20 mm),0.775401,0.491251,1.35872,
B,model N=40 (lc = 20 mm),0.925183,0.371876,1.35872,
B,model N=40 (lc = 20 mm),1.1039,0.422983,1.35872,
B,model N=40 (lc = 20 mm),1.31713,0.242556,1.35872,
B,model N=40 (lc = 20 mm),1.57156,0.297113,1.35872,
B,model N=40 (lc = 20 mm),1.87513,0.163824,1.35872,
B,model N=40 (lc = 20 mm),2.23734,0.181238,1.35872,
B,model N=40 (lc = 20 mm),2.66952,0.105867,1.35872,
B,model N=40 (lc = 20 mm),3.18518,0.0462929,1.35872,
B,model N=40 (lc = 20 mm),3.80045,0.0355652,1.35872,
B,model N=40 (lc = 20 mm),4.53457,0.0216781,1.35872,
B,model N=40 (lc = 20 mm),5.4105,0.0158975,1.35872,
B,model N=40 (lc = 20 mm),6.45563,0.00761359,1.35872,
B,model N=40 (lc = 20 mm),7.70264,0.00159525,1.35872,
B,model N=40 (lc = 20 mm),9.19053,0.00133699,1.35872,
B,model N=50 (lc = 25 mm),0.158204,0.393457,1.21402,
B,model N=50 (lc = 25 mm),0.188764,0.329759,1.21402,
B,model N=50 (lc = 25 mm),0.225227,0.552746,1.21402,
B,model N=50 (lc = 25 mm),0.268733,0.555912,1.21402,
B,model N=50 (lc = 25 mm),0.320643,0.815348,1.21402,
B,model N=50 (lc = 25 mm),0.38258,1.00875,1.21402,
B,model N=50 (lc = 25 mm),0.456482,1.03635,1.21402,
B,model N=50 (lc = 25 mm),0.544659,0.708569,1.21402,
B,model N=50 (lc = 25 mm),0.649869,0.306506,1.21402,
B,model N=50 (lc = 25 mm),0.775401,0.433493,1.21402,
B,model N=50 (lc = 25 mm),0.925183,0.484418,1.21402,
B,model N=50 (lc = 25 mm),1.1039,0.338328,1.21402,
B,model N=50 (lc = 25 mm),1.31713,0.264651,1.21402,
B,model N=50 (lc = 25 mm),1.57156,0.205962,1.21402,
B,model N=50 (lc = 25 mm),1.87513,0.15934,1.21402,
B,model N=50 (lc = 25 mm),2.23734,0.189187,1.21402,
B,model N=50 (lc = 25 mm),2.66952,0.111924,1.21402,
B,model N=50 (lc = 25 mm),3.18518,0.0977126,1.21402,
B,model N=50 (lc = 25 mm),3.80045,0.0655148,1.21402,
B,model N=50 (lc = 25 mm),4.53457,0.0192179,1.21402,
B,model N=50 (lc = 25 mm),5.4105,0.00920381,1.21402,
B,model N=50 (lc = 25 mm),6.45563,0.00192844,1.21402,
B,model N=50 (lc = 25 mm),7.70264,0.00161624,1.21402,
B,model N=60 (lc = 30 mm),0.158204,0.17169,1.47914,
B,model N=60 (lc = 30 mm),0.188764,0.431685,1.47914,
B,model N=60 (lc = 30 mm),0.225227,0.422097,1.47914,
B,model N=60 (lc = 30 mm),0.268733,1.01075,1.47914,
B,model N=60 (lc = 30 mm),0.320643,0.720047,1.47914,
B,model N=60 (lc = 30 mm),0.38258,1.17145,1.47914,
B,model N=60 (lc = 30 mm),0.456482,0.952051,1.47914,
B,model N=60 (lc = 30 mm),0.544659,0.324155,1.47914,
B,model N=60 (lc = 30 mm),0.649869,0.292574,1.47914,
B,model N=60 (lc = 30 mm),0.775401,0.315268,1.47914,
B,model N=60 (lc = 30 mm),0.925183,0.337625,1.47914,
B,model N=60 (lc = 30 mm),1.1039,0.319874,1.47914,
B,model N=60 (lc = 30 mm),1.31713,0.340266,1.47914,
B,model N=60 (lc = 30 mm),1.57156,0.345671,1.47914,
B,model N=60 (lc = 30 mm),1.87513,0.231767,1.47914,
B,model N=60 (lc = 30 mm),2.23734,0.151754,1.47914,
B,model N=60 (lc = 30 mm),2.66952,0.0915741,1.47914,
B,model N=60 (lc = 30 mm),3.18518,0.0682212,1.47914,
B,model N=60 (lc = 30 mm),3.80045,0.053603,1.47914,
B,model N=60 (lc = 30 mm),4.53457,0.032945,1.47914,
B,model N=60 (lc = 30 mm),5.4105,0.0125507,1.47914,
B,model N=60 (lc = 30 mm),6.45563,0.0210376,1.47914,
B,model N=60 (lc = 30 mm),7.70264,0.00176317,1.47914,
B,model N=60 (lc = 30 mm),9.19053,0.00147772,1.47914,
C,living worms lc = 15.4 mm,1.6,,,15.3635
C,living worms lc = 15.4 mm,0.633333,,,15.3635
C,living worms lc = 15.4 mm,2.43333,,,15.3635
C,living worms lc = 15.4 mm,0.4,,,15.3635
C,living worms lc = 15.4 mm,0.733333,,,15.3635
C,living worms lc = 15.4 mm,1.83333,,,15.3635
C,living worms lc = 15.4 mm,0.166667,,,15.3635
C,living worms lc = 15.4 mm,0.7,,,15.3635
C,living worms lc = 15.4 mm,0.3,,,15.3635
C,living worms lc = 15.4 mm,1.16667,,,15.3635
C,living worms lc = 15.4 mm,1,,,15.3635
C,living worms lc = 15.4 mm,2.6,,,15.3635
C,living worms lc = 15.4 mm,0.233333,,,15.3635
C,living worms lc = 15.4 mm,2,,,15.3635
C,living worms lc = 15.4 mm,0.7,,,15.3635
C,living worms lc = 15.4 mm,0.433333,,,15.3635
C,living worms lc = 15.4 mm,5.6,,,15.3635
C,living worms lc = 15.4 mm,3.53333,,,15.3635
C,living worms lc = 15.4 mm,2.3,,,15.3635
C,living worms lc = 15.4 mm,3.23333,,,15.3635
C,living worms lc = 15.4 mm,0.4,,,15.3635
C,living worms lc = 15.4 mm,2.13333,,,15.3635
C,living worms lc = 15.4 mm,2.23333,,,15.3635
C,living worms lc = 15.4 mm,2.3,,,15.3635
C,living worms lc = 15.4 mm,3.83333,,,15.3635
C,living worms lc = 15.4 mm,0.266667,,,15.3635
C,living worms lc = 15.4 mm,0.2,,,15.3635
C,living worms lc = 15.4 mm,4.43333,,,15.3635
C,living worms lc = 15.4 mm,1.33333,,,15.3635
C,living worms lc = 15.4 mm,1.7,,,15.3635
C,living worms lc = 15.4 mm,3.43333,,,15.3635
C,living worms lc = 15.4 mm,2.06667,,,15.3635
C,living worms lc = 15.4 mm,1.3,,,15.3635
C,living worms lc = 15.4 mm,3.76667,,,15.3635
C,living worms lc = 15.4 mm,2.33333,,,15.3635
C,living worms lc = 15.4 mm,0.5,,,15.3635
C,living worms lc = 15.4 mm,2.73333,,,15.3635
C,living worms lc = 15.4 mm,0.5,,,15.3635
C,living worms lc = 15.4 mm,2.06667,,,15.3635
C,living worms lc = 15.4 mm,1,,,15.3635
C,living worms lc = 15.4 mm,0.266667,,,15.3635
C,living worms lc = 15.4 mm,1.06667,,,15.3635
C,living worms lc = 15.4 mm,2.33333,,,15.3635
C,living worms lc = 15.4 mm,0.566667,,,15.3635
C,living worms lc = 15.4 mm,3.8,,,15.3635
C,living worms lc = 15.4 mm,2.36667,,,15.3635
C,living worms lc = 15.4 mm,1.03333,,,15.3635
C,living worms lc = 17.9 mm,0.633333,,,17.8606
C,living worms lc = 17.9 mm,1.16667,,,17.8606
C,living worms lc = 17.9 mm,0.2,,,17.8606
C,living worms lc = 17.9 mm,0.333333,,,17.8606
C,living worms lc = 17.9 mm,1.4,,,17.8606
C,living worms lc = 17.9 mm,1.93333,,,17.8606
C,living worms lc = 17.9 mm,0.266667,,,17.8606
C,living worms lc = 17.9 mm,0.4,,,17.8606
C,living worms lc = 17.9 mm,2.63333,,,17.8606
C,living worms lc = 17.9 mm,0.2,,,17.8606
C,living worms lc = 17.9 mm,0.233333,,,17.8606
C,living worms lc = 17.9 mm,3.66667,,,17.8606
C,living worms lc = 17.9 mm,0.466667,,,17.8606
C,living worms lc = 17.9 mm,0.7,,,17.8606
C,living worms lc = 17.9 mm,1,,,17.8606
C,living worms lc = 17.9 mm,1.73333,,,17.8606
C,living worms lc = 21.3 mm,0.433333,,,21.3087
C,living worms lc = 21.3 mm,1.53333,,,21.3087
C,living worms lc = 21.3 mm,1.1,,,21.3087
C,living worms lc = 21.3 mm,0.433333,,,21.3087
C,living worms lc = 21.3 mm,0.333333,,,21.3087
C,living worms lc = 21.3 mm,0.233333,,,21.3087
C,living worms lc = 21.3 mm,3.8,,,21.3087
C,living worms lc = 21.3 mm,0.466667,,,21.3087
C,living worms lc = 21.3 mm,0.833333,,,21.3087
C,living worms lc = 21.3 mm,0.8,,,21.3087
C,living worms lc = 21.3 mm,0.766667,,,21.3087
C,living worms lc = 21.3 mm,0.866667,,,21.3087
C,living worms lc = 21.3 mm,2.3,,,21.3087
C,living worms lc = 21.3 mm,1.83333,,,21.3087
C,living worms lc = 21.3 mm,0.466667,,,21.3087
C,living worms lc = 21.3 mm,2.46667,,,21.3087
C,living worms lc = 21.3 mm,0.233333,,,21.3087
C,living worms lc = 21.3 mm,0.266667,,,21.3087
C,living worms lc = 21.3 mm,0.8,,,21.3087
C,living worms lc = 21.3 mm,1.2,,,21.3087
C,living worms lc = 21.3 mm,1.43333,,,21.3087
C,living worms lc = 21.3 mm,1.9,,,21.3087
C,living worms lc = 21.3 mm,0.8,,,21.3087
C,living worms lc = 21.3 mm,0.166667,,,21.3087
C,living worms lc = 21.3 mm,0.2,,,21.3087
C,living worms lc = 21.3 mm,0.966667,,,21.3087
C,living worms lc = 21.3 mm,0.6,,,21.3087
C,living worms lc = 21.3 mm,0.2,,,21.3087
C,living worms lc = 21.3 mm,3.23333,,,21.3087
C,living worms lc = 21.3 mm,1.5,,,21.3087
C,living worms lc = 21.3 mm,0.7,,,21.3087
C,living worms lc = 21.3 mm,0.533333,,,21.3087
C,living worms lc = 21.3 mm,1.33333,,,21.3087
C,living worms lc = 24.9 mm,0.6,,,24.9221
C,living worms lc = 24.9 mm,0.4,,,24.9221
C,living worms lc = 24.9 mm,1.3,,,24.9221
C,living worms lc = 24.9 mm,2.56667,,,24.9221
C,living worms lc = 24.9 mm,2.1,,,24.9221
C,living worms lc = 24.9 mm,1.66667,,,24.9221
C,living worms lc = 24.9 mm,0.233333,,,24.9221
C,living worms lc = 24.9 mm,1.33333,,,24.9221
C,living worms lc = 24.9 mm,0.5,,,24.9221
C,living worms lc = 24.9 mm,1.23333,,,24.9221
C,living worms lc = 24.9 mm,0.3,,,24.9221
C,living worms lc = 24.9 mm,3.1,,,24.9221
C,living worms lc = 24.9 mm,0.166667,,,24.9221
C,living worms lc = 24.9 mm,0.866667,,,24.9221
C,living worms lc = 24.9 mm,7.1,,,24.9221
C,living worms lc = 24.9 mm,1.9,,,24.9221
C,living worms lc = 24.9 mm,1.7,,,24.9221
C,living worms lc = 24.9 mm,1.26667,,,24.9221
C,living worms lc = 24.9 mm,1.83333,,,24.9221
C,living worms lc = 24.9 mm,2.36667,,,24.9221
C,living worms lc = 24.9 mm,0.7,,,24.9221
C,living worms lc = 24.9 mm,2.46667,,,24.9221
C,living worms lc = 24.9 mm,0.266667,,,24.9221
C,living worms lc = 24.9 mm,0.266667,,,24.9221
C,living worms lc = 24.9 mm,0.966667,,,24.9221
C,living worms lc = 24.9 mm,2.5,,,24.9221
C,living worms lc = 24.9 mm,0.333333,,,24.9221
C,living worms lc = 24.9 mm,0.866667,,,24.9221
C,living worms lc = 24.9 mm,6.4,,,24.9221
C,living worms lc = 24.9 mm,1.06667,,,24.9221
C,living worms lc = 24.9 mm,1.33333,,,24.9221
C,living worms lc = 24.9 mm,0.6,,,24.9221
C,living worms lc = 24.9 mm,0.533333,,,24.9221
C,living worms lc = 30.7 mm,0.933333,,,30.7063
C,living worms lc = 30.7 mm,2.2,,,30.7063
C,living worms lc = 30.7 mm,0.6,,,30.7063
C,living worms lc = 30.7 mm,0.266667,,,30.7063
C,living worms lc = 30.7 mm,0.7,,,30.7063
C,living worms lc = 30.7 mm,0.233333,,,30.7063
C,living worms lc = 30.7 mm,0.266667,,,30.7063
C,living worms lc = 30.7 mm,0.933333,,,30.7063
C,living worms lc = 30.7 mm,0.8,,,30.7063
C,living worms lc = 30.7 mm,1.23333,,,30.7063
C,living worms lc = 30.7 mm,1.03333,,,30.7063
C,living worms lc = 30.7 mm,0.6,,,30.7063
C,living worms lc = 30.7 mm,0.333333,,,30.7063
C,living worms lc = 30.7 mm,0.166667,,,30.7063
C,living worms lc = 30.7 mm,0.833333,,,30.7063
C,living worms lc = 30.7 mm,1.16667,,,30.7063
C,living worms lc = 30.7 mm,0.4,,,30.7063
C,living worms lc = 30.7 mm,0.433333,,,30.7063
C,living worms lc = 30.7 mm,0.466667,,,30.7063
C,living worms lc = 30.7 mm,0.3,,,30.7063
C,living worms lc = 30.7 mm,0.533333,,,30.7063
C,living worms lc = 30.7 mm,2.36667,,,30.7063
C,living worms lc = 30.7 mm,0.633333,,,30.7063
C,living worms lc = 30.7 mm,0.633333,,,30.7063
C,living worms lc = 30.7 mm,0.5,,,30.7063
C,living worms lc = 30.7 mm,0.4,,,30.7063
C,living worms lc = 30.7 mm,0.6,,,30.7063
C,living worms lc = 30.7 mm,1.1,,,30.7063
C,living worms lc = 30.7 mm,0.366667,,,30.7063
C,living worms lc = 30.7 mm,0.433333,,,30.7063
C,living worms lc = 30.7 mm,0.5,,,30.7063
C,living worms lc = 30.7 mm,0.166667,,,30.7063
C,living worms lc = 30.7 mm,0.266667,,,30.7063
C,living worms lc = 30.7 mm,0.266667,,,30.7063
C,living worms lc = 30.7 mm,0.966667,,,30.7063
C,living worms lc = 30.7 mm,0.6,,,30.7063
C,living worms lc = 30.7 mm,0.766667,,,30.7063
C,living worms lc = 30.7 mm,0.5,,,30.7063
C,living worms lc = 30.7 mm,2.9,,,30.7063
C,living worms lc = 30.7 mm,1.06667,,,30.7063
C,living worms lc = 30.7 mm,0.733333,,,30.7063
C,living worms lc = 30.7 mm,6.96667,,,30.7063
C,living worms lc = 30.7 mm,2.46667,,,30.7063
C,living worms lc = 30.7 mm,2.06667,,,30.7063
C,living worms lc = 30.7 mm,1,,,30.7063
C,living worms lc = 30.7 mm,0.166667,,,30.7063
C,living worms lc = 30.7 mm,9.8,,,30.7063
C,living worms lc = 30.7 mm,2.96667,,,30.7063
C,living worms lc = 30.7 mm,3,,,30.7063
C,living worms lc = 30.7 mm,0.7,,,30.7063
C,living worms lc = 30.7 mm,0.2,,,30.7063
C,living worms lc = 30.7 mm,3.73333,,,30.7063
C,living worms lc = 30.7 mm,0.7,,,30.7063
C,living worms lc = 30.7 mm,2,,,30.7063
C,living worms lc = 30.7 mm,0.9,,,30.7063
C,living worms lc = 30.7 mm,3.53333,,,30.7063
C,living worms lc = 30.7 mm,0.9,,,30.7063
C,living worms lc = 30.7 mm,0.666667,,,30.7063
C,living worms lc = 33.5 mm,0.166667,,,33.4755
C,living worms lc = 33.5 mm,3.73333,,,33.4755
C,living worms lc = 33.5 mm,0.633333,,,33.4755
C,living worms lc = 33.5 mm,0.6,,,33.4755
C,living worms lc = 33.5 mm,0.966667,,,33.4755
C,living worms lc = 33.5 mm,0.333333,,,33.4755
C,living worms lc = 33.5 mm,1.23333,,,33.4755
C,living worms lc = 33.5 mm,0.4,,,33.4755
C,living worms lc = 33.5 mm,0.766667,,,33.4755
C,living worms lc = 33.5 mm,4.06667,,,33.4755
C,living worms lc = 33.5 mm,2.7,,,33.4755
C,living worms lc = 33.5 mm,1.06667,,,33.4755
C,living worms lc = 33.5 mm,3.36667,,,33.4755
C,living worms lc = 33.5 mm,0.966667,,,33.4755
C,living worms lc = 33.5 mm,0.666667,,,33.4755
C,living worms lc = 33.5 mm,1.96667,,,33.4755
C,living worms lc = 33.5 mm,0.2,,,33.4755
C,living worms lc = 33.5 mm,0.866667,,,33.4755
C,living worms lc = 33.5 mm,0.466667,,,33.4755
C,living worms lc = 33.5 mm,0.166667,,,33.4755
C,living worms lc = 33.5 mm,0.6,,,33.4755
C,living worms lc = 33.5 mm,0.166667,,,33.4755
C,living worms lc = 33.5 mm,0.833333,,,33.4755
C,living worms lc = 33.5 mm,0.333333,,,33.4755
C,living worms lc = 33.5 mm,0.333333,,,33.4755
C,living worms lc = 33.5 mm,0.2,,,33.4755
C,living worms lc = 33.5 mm,0.833333,,,33.4755
C,living worms lc = 33.5 mm,0.166667,,,33.4755
C,living worms lc = 33.5 mm,0.233333,,,33.4755
C,living worms lc = 33.5 mm,0.833333,,,33.4755
C,living worms lc = 33.5 mm,0.833333,,,33.4755
C,living worms lc = 33.5 mm,0.566667,,,33.4755
C,living worms lc = 33.5 mm,2.2,,,33.4755
C,living worms lc = 33.5 mm,0.7,,,33.4755
C,living worms lc = 33.5 mm,0.966667,,,33.4755
C,living worms lc = 33.5 mm,0.833333,,,33.4755
C,living worms lc = 33.5 mm,0.966667,,,33.4755
C,living worms lc = 33.5 mm,1.46667,,,33.4755
C,living worms lc = 33.5 mm,0.7,,,33.4755
C,living worms lc = 33.5 mm,0.266667,,,33.4755
C,living worms lc = 33.5 mm,0.166667,,,33.4755
C,living worms lc = 33.5 mm,1.06667,,,33.4755
C,living worms lc = 33.5 mm,0.666667,,,33.4755
C,living worms lc = 33.5 mm,0.9,,,33.4755
C,living worms lc = 33.5 mm,0.766667,,,33.4755
C,living worms lc = 33.5 mm,0.366667,,,33.4755
C,living worms lc = 33.5 mm,0.9,,,33.4755
C,living worms lc = 33.5 mm,0.566667,,,33.4755
C,living worms lc = 33.5 mm,0.333333,,,33.4755
C,living worms lc = 33.5 mm,0.533333,,,33.4755
C,living worms lc = 33.5 mm,0.933333,,,33.4755
C,living worms lc = 33.5 mm,0.366667,,,33.4755
C,living worms lc = 35.8 mm,5.6,,,35.8233
C,living worms lc = 35.8 mm,0.866667,,,35.8233
C,living worms lc = 35.8 mm,0.5,,,35.8233
C,living worms lc = 35.8 mm,0.8,,,35.8233
C,living worms lc = 35.8 mm,0.2,,,35.8233
C,living worms lc = 35.8 mm,1.16667,,,35.8233
C,living worms lc = 35.8 mm,0.166667,,,35.8233
C,living worms lc = 35.8 mm,0.2,,,35.8233
C,living worms lc = 35.8 mm,0.233333,,,35.8233
C,living worms lc = 35.8 mm,0.166667,,,35.8233
C,living worms lc = 35.8 mm,0.633333,,,35.8233
C,living worms lc = 35.8 mm,0.533333,,,35.8233
C,living worms lc = 35.8 mm,0.5,,,35.8233
C,living worms lc = 35.8 mm,0.2,,,35.8233
C,living worms lc = 35.8 mm,0.166667,,,35.8233
C,living worms lc = 35.8 mm,0.666667,,,35.8233
C,living worms lc = 35.8 mm,0.366667,,,35.8233
C,living worms lc = 35.8 mm,3.5,,,35.8233
C,living worms lc = 35.8 mm,1.13333,,,35.8233
C,living worms lc = 35.8 mm,0.4,,,35.8233
C,living worms lc = 35.8 mm,0.933333,,,35.8233
C,living worms lc = 35.8 mm,0.2,,,35.8233
C,living worms lc = 35.8 mm,0.433333,,,35.8233
C,living worms lc = 35.8 mm,0.266667,,,35.8233
C,living worms lc = 35.8 mm,0.4,,,35.8233
C,living worms lc = 35.8 mm,0.166667,,,35.8233
C,living worms lc = 35.8 mm,0.633333,,,35.8233
C,living worms lc = 35.8 mm,0.566667,,,35.8233
C,living worms lc = 35.8 mm,0.266667,,,35.8233
C,living worms lc = 35.8 mm,0.266667,,,35.8233
C,living worms lc = 35.8 mm,0.266667,,,35.8233
C,living worms lc = 35.8 mm,0.833333,,,35.8233
C,living worms lc = 35.8 mm,0.4,,,35.8233
C,living worms lc = 35.8 mm,0.4,,,35.8233
C,living worms lc = 35.8 mm,0.433333,,,35.8233
C,living worms lc = 35.8 mm,0.366667,,,35.8233
C,living worms lc = 35.8 mm,0.433333,,,35.8233
C,living worms lc = 35.8 mm,0.166667,,,35.8233
C,living worms lc = 35.8 mm,0.566667,,,35.8233
C,living worms lc = 35.8 mm,0.2,,,35.8233
C,living worms lc = 35.8 mm,0.266667,,,35.8233
C,living worms lc = 35.8 mm,0.5,,,35.8233
C,living worms lc = 35.8 mm,0.166667,,,35.8233
C,model N=40,0.683333,,,22.5
C,model N=40,2.88333,,,22.5
C,model N=40,2.05,,,22.5
C,model N=40,0.383333,,,22.5
C,model N=40,1.93333,,,22.5
C,model N=40,0.3,,,22.5
C,model N=40,1.43333,,,22.5
C,model N=40,0.4,,,22.5
C,model N=40,1.33333,,,22.5
C,model N=40,1.58333,,,22.5
C,model N=40,0.883333,,,22.5
C,model N=40,0.666667,,,22.5
C,model N=40,1.76667,,,22.5
C,model N=40,1.06667,,,22.5
C,model N=40,1.98333,,,22.5
C,model N=40,4.1,,,22.5
C,model N=40,0.416667,,,22.5
C,model N=40,1.15,,,22.5
C,model N=40,0.55,,,22.5
C,model N=40,0.166667,,,22.5
C,model N=40,0.466667,,,22.5
C,model N=40,4.08333,,,22.5
C,model N=40,0.283333,,,22.5
C,model N=40,0.216667,,,22.5
C,model N=40,1.28333,,,22.5
C,model N=40,1.08333,,,22.5
C,model N=40,1.98333,,,22.5
C,model N=40,1.51667,,,22.5
C,model N=40,0.333333,,,22.5
C,model N=40,0.783333,,,22.5
C,model N=40,0.216667,,,22.5
C,model N=40,3.16667,,,22.5
C,model N=40,1.18333,,,22.5
C,model N=40,1.35,,,22.5
C,model N=40,1.25,,,22.5
C,model N=40,2.63333,,,22.5
C,model N=40,0.65,,,22.5
C,model N=40,0.433333,,,22.5
C,model N=40,1.41667,,,22.5
C,model N=40,1.41667,,,22.5
C,model N=40,1,,,22.5
C,model N=40,1.55,,,22.5
C,model N=40,1.58333,,,22.5
C,model N=40,0.666667,,,22.5
C,model N=40,2.5,,,22.5
C,model N=40,2.06667,,,22.5
C,model N=40,0.3,,,22.5
C,model N=40,0.2,,,22.5
C,model N=40,0.516667,,,22.5
C,model N=40,0.466667,,,22.5
C,model N=40,2.11667,,,22.5
C,model N=40,6.13333,,,22.5
C,model N=40,1.58333,,,22.5
C,model N=40,0.766667,,,22.5
C,model N=40,2.68333,,,22.5
C,model N=40,0.716667,,,22.5
C,model N=40,3.38333,,,22.5
C,model N=40,0.316667,,,22.5
C,model N=40,1.1,,,22.5
C,model N=40,0.883333,,,22.5
C,model N=40,0.5,,,22.5
C,model N=40,0.883333,,,22.5
C,model N=40,0.583333,,,22.5
C,model N=40,0.333333,,,22.5
C,model N=40,2.2,,,22.5
C,model N=40,0.85,,,22.5
C,model N=40,1.66667,,,22.5
C,model N=40,0.4,,,22.5
C,model N=40,1.88333,,,22.5
C,model N=40,0.4,,,22.5
C,model N=40,0.333333,,,22.5
C,model N=40,0.383333,,,22.5
C,model N=40,1.1,,,22.5
C,model N=40,3.71667,,,22.5
C,model N=40,0.816667,,,22.5
C,model N=40,4.18333,,,22.5
C,model N=40,1.05,,,22.5
C,model N=40,1.08333,,,22.5
C,model N=40,0.616667,,,22.5
C,model N=40,0.95,,,22.5
C,model N=40,0.466667,,,22.5
C,model N=40,1.3,,,22.5
C,model N=40,1.18333,,,22.5
C,model N=40,0.3,,,22.5
C,model N=40,0.4,,,22.5
C,model N=40,0.583333,,,22.5
C,model N=40,1.3,,,22.5
C,model N=40,1.45,,,22.5
C,model N=40,1.5,,,22.5
C,model N=40,1.08333,,,22.5
C,model N=40,3.93333,,,22.5
C,model N=40,0.85,,,22.5
C,model N=40,0.783333,,,22.5
C,model N=40,0.416667,,,22.5
C,model N=40,0.516667,,,22.5
C,model N=40,0.45,,,22.5
C,model N=40,1.88333,,,22.5
C,model N=40,1.21667,,,22.5
C,model N=40,0.866667,,,22.5
C,model N=40,4.76667,,,22.5
C,model N=40,0.983333,,,22.5
C,model N=40,4.21667,,,22.5
C,model N=40,2.81667,,,22.5
C,model N=40,0.55,,,22.5
C,model N=40,0.4,,,22.5
C,model N=40,1.53333,,,22.5
C,model N=40,1.91667,,,22.5
C,model N=40,1.76667,,,22.5
C,model N=40,1.56667,,,22.5
