panel,series,tau_ec_min,tau_tr_min,fa_nN,kappa_over_uE,T_star,temperature_C,shannon_entropy_H,tau_tr_over_tau_e0,fit_slope_per_H,fit_intercept
B,model,,1.54823,50,0.5,0.15,,5.44132,,,
B,model,,1.07926,50,0.65,0.15,,5.58376,,,
B,model,,2.61936,50,0.3,0.2,,4.97178,,,
B,model,,2.42041,50,0.35,0.2,,5.0156,,,
B,model,,2.427,50,0.4,0.2,,5.06488,,,
B,model,,1.87256,50,0.5,0.2,,5.22738,,,
B,model,,1.39787,50,0.65,0.2,,5.42788,,,
B,model,,1.16726,50,0.8,0.2,,5.53811,,,
B,model,,0.815907,50,1,0.2,,5.64807,,,
B,model,,2.51949,50,0.3,0.3,,4.83247,,,
B,model,,2.91915,50,0.35,0.3,,4.86347,,,
B,model,,2.63889,50,0.4,0.3,,4.90076,,,
B,model,,2.3012,50,0.5,0.3,,5.00301,,,
B,model,,1.93924,50,0.65,0.3,,5.14198,,,
B,model,,1.51271,50,0.8,0.3,,5.29018,,,
B,model,,1.21169,50,1,0.3,,5.42829,,,
B,model,,1.68517,60,0.4,0.2,,5.07219,,,
B,model,,1.48168,80,0.35,0.08,,5.3633,,,
B,model,,1.1938,80,0.4,0.08,,5.49788,,,
B,model,,0.810113,80,0.5,0.08,,5.69354,,,
B,model,,0.54915,80,0.65,0.08,,5.80337,,,
B,model,,1.68222,80,0.35,0.1,,5.24827,,,
B,model,,1.20979,80,0.4,0.1,,5.42062,,,
B,model,,0.954386,80,0.5,0.1,,5.61388,,,
B,model,,0.653125,80,0.65,0.1,,5.7539,,,
B,model,,0.427026,80,1,0.1,,5.68179,,,
B,model,,2.25128,80,0.35,0.15,,5.06099,,,
B,model,,1.79237,80,0.4,0.15,,5.15239,,,
B,model,,1.34449,80,0.5,0.15,,5.35749,,,
B,model,,0.927986,80,0.65,0.15,,5.56553,,,
B,model,,1.95553,80,0.35,0.2,,4.96545,,,
B,model,,2.02267,80,0.4,0.2,,5.01151,,,
B,model,,1.75731,80,0.5,0.2,,5.14078,,,
B,model,,1.22368,80,0.65,0.2,,5.35529,,,
B,model,,2.09441,80,0.35,0.3,,4.88235,,,
B,model,,1.82767,80,0.4,0.3,,4.93189,,,
B,model,,1.85913,80,0.5,0.3,,4.96444,,,
B,model,,1.49209,80,0.65,0.3,,5.08326,,,
B,model,,1.32054,100,0.35,0.08,,5.27434,,,
B,model,,1.02993,100,0.4,0.08,,5.40354,,,
B,model,,0.858108,100,0.5,0.08,,5.61353,,,
B,model,,0.519272,100,0.65,0.08,,5.796,,,
B,model,,1.58873,100,0.35,0.1,,5.1397,,,
B,model,,1.28302,100,0.4,0.1,,5.2601,,,
B,model,,1.00212,100,0.5,0.1,,5.49134,,,
B,model,,0.905699,100,0.6,0.1,,5.40587,,,
B,model,,0.628007,100,0.65,0.1,,5.72436,,,
B,model,,0.376255,100,1,0.1,,5.72565,,,
B,model,,1.81918,100,0.35,0.15,,4.94417,,,
B,model,,1.43533,100,0.4,0.15,,5.06001,,,
B,model,,1.23272,100,0.5,0.15,,5.24216,,,
B,model,,0.976761,100,0.65,0.15,,5.48048,,,
B,model,,1.91533,100,0.35,0.2,,4.88536,,,
B,model,,1.68043,100,0.4,0.2,,4.94839,,,
B,model,,1.65379,100,0.5,0.2,,5.07798,,,
B,model,,1.32715,100,0.65,0.2,,5.25885,,,
B,model,,1.46336,100,0.35,0.3,,4.95431,,,
B,model,,1.60283,100,0.4,0.3,,4.90156,,,
B,model,,1.41911,100,0.5,0.3,,4.99635,,,
B,model,,1.4053,100,0.65,0.3,,5.15401,,,
B,model,,1.50992,117.8,0.4,0.103,,5.16369,,,
B,model,,1.24286,120,0.35,0.08,,4.98257,,,
B,model,,1.31181,120,0.4,0.08,,5.28296,,,
B,model,,0.841462,120,0.5,0.08,,5.53948,,,
B,model,,0.548457,120,0.65,0.08,,5.75496,,,
B,model,,1.804,120,0.35,0.1,,5.04102,,,
B,model,,1.57583,120,0.4,0.1,,5.1465,,,
B,model,,0.995161,120,0.5,0.1,,5.41427,,,
B,model,,0.686477,120,0.65,0.1,,5.63006,,,
B,model,,0.367732,120,1,0.1,,5.75803,,,
B,model,,1.80614,120,0.35,0.15,,4.90576,,,
B,model,,1.71688,120,0.4,0.15,,4.9717,,,
B,model,,1.57788,120,0.5,0.15,,5.15724,,,
B,model,,1.06208,120,0.65,0.15,,5.38484,,,
B,model,,1.73804,120,0.35,0.2,,4.88777,,,
B,model,,1.79678,120,0.4,0.2,,5.00575,,,
B,model,,1.24516,120,0.5,0.2,,5.09435,,,
B,model,,1.02273,120,0.65,0.2,,5.40298,,,
B,model,,1.1062,120,0.35,0.3,,5.00743,,,
B,model,,1.00124,120,0.4,0.3,,5.119,,,
B,model,,0.752711,120,0.5,0.3,,5.23963,,,
B,model,,0.836709,120,0.65,0.3,,5.32478,,,
B,model,,1.589,150,0.35,0.08,,4.96825,,,
B,model,,0.989015,150,0.5,0.08,,5.36236,,,
B,model,,0.592576,150,0.65,0.08,,5.66487,,,
B,model,,1.66831,150,0.35,0.1,,4.88934,,,
B,model,,1.08638,150,0.5,0.1,,5.2765,,,
B,model,,0.79612,150,0.65,0.1,,5.67221,,,
B,model,,1.45918,150,0.35,0.15,,4.92834,,,
B,model,,1.04542,150,0.5,0.15,,5.28445,,,
B,model,,0.592865,150,0.65,0.15,,5.5945,,,
B,model,,0.625635,200,0.4,0.1,,5.23568,,,
B,model,,0.573852,200,0.6,0.1,,5.31262,,,
B,living worms,,3.0917,,,,10,5.78,,,
B,living worms,,0.76,,,,20,6.18,,,
B,living worms,,2.1983,,,,30,5.83,,,
C,model,,,30,0.35,0.08,,5.56777,12.0746,,
C,model,,,30,0.4,0.08,,5.67977,7.06564,,
C,model,,,30,0.5,0.08,,5.74387,5.22666,,
C,model,,,30,0.65,0.08,,5.69178,4.24059,,
C,model,,,30,0.3,0.1,,5.35433,15.8175,,
C,model,,,30,0.35,0.1,,5.43728,13.3216,,
C,model,,,30,0.4,0.1,,5.61291,7.40903,,
C,model,,,30,0.5,0.1,,5.72428,5.62242,,
C,model,,,30,0.65,0.1,,5.71572,4.57036,,
C,model,,,30,0.8,0.1,,5.6594,4.14216,,
C,model,,,30,1,0.1,,5.55923,3.28226,,
C,model,,,30,0.35,0.15,,5.21259,18.0576,,
C,model,,,30,0.4,0.15,,5.30805,11.8384,,
C,model,,,30,0.5,0.15,,5.48814,7.99906,,
C,model,,,30,0.65,0.15,,5.60194,6.20037,,
C,model,,,30,0.3,0.2,,4.91505,31.468,,
C,model,,,30,0.35,0.2,,5.04606,25.8282,,
C,model,,,30,0.4,0.2,,5.0672,21.3826,,
C,model,,,30,0.5,0.2,,5.21321,17.0203,,
C,model,,,30,0.65,0.2,,5.36568,10.5658,,
C,model,,,30,0.8,0.2,,5.51468,7.20701,,
C,model,,,30,1,0.2,,5.59561,5.78188,,
C,model,,,30,0.3,0.3,,4.78319,26.3582,,
C,model,,,30,0.35,0.3,,4.8178,28.8925,,
C,model,,,30,0.4,0.3,,4.90076,22.4548,,
C,model,,,30,0.5,0.3,,4.95002,23.9039,,
C,model,,,30,0.65,0.3,,5.08062,17.3305,,
