panel,series,contour_length_mm,tau_tr_min
20 C,living worms,35.8233,0.266667
20 C,living worms,35.8233,0.5
20 C,living worms,35.8233,0.166667
30 C,living worms,14.212,1.96667
30 C,living worms,14.212,5.4
30 C,living worms,14.212,0.2
30 C,living worms,14.212,0.166667
30 C,living worms,14.212,0.4
30 C,living worms,14.212,1.5
30 C,living worms,14.212,2.4
30 C,living worms,19.4779,1.96667
30 C,living worms,19.4779,1.66667
30 C,living worms,19.4779,2.06667
30 C,living worms,19.4779,0.366667
30 C,living worms,19.4779,3.9
30 C,living worms,19.4779,0.533333
30 C,living worms,19.4779,1.26667
30 C,living worms,19.4779,1.63333
30 C,living worms,19.4779,0.733333
30 C,living worms,19.4779,0.633333
30 C,living worms,19.4779,2.5
30 C,living worms,19.4779,0.8
30 C,living worms,19.4779,2.66667
30 C,living worms,19.4779,0.633333
30 C,living worms,19.4779,1.5
30 C,living worms,19.4779,3
30 C,living worms,19.4779,0.4
30 C,living worms,19.4779,1.03333
30 C,living worms,19.4779,1.26667
30 C,living worms,19.4779,1.8
30 C,living worms,19.4779,0.2
30 C,living worms,19.4779,3.16667
30 C,living worms,19.4779,9.9
30 C,living worms,19.4779,0.966667
30 C,living worms,19.4779,1.6
30 C,living worms,19.4779,0.866667
30 C,living worms,19.4779,0.766667
30 C,living worms,19.4779,1.8
30 C,living worms,19.4779,2.66667
30 C,living worms,19.4779,0.566667
30 C,living worms,19.4779,5.6
30 C,living worms,19.4779,7
30 C,living worms,19.4779,7.96667
30 C,living worms,19.4779,0.466667
30 C,living worms,19.4779,6.13333
30 C,living worms,19.4779,3.7
30 C,living worms,19.4779,1.66667
30 C,living worms,19.4779,6.5
30 C,living worms,19.4779,1.13333
30 C,living worms,19.4779,1.43333
30 C,living worms,19.4779,1.16667
30 C,living worms,21.7183,5.86667
30 C,living worms,21.7183,8.4
30 C,living worms,21.7183,1.6
30 C,living worms,21.7183,0.233333
30 C,living worms,21.7183,6.36667
30 C,living worms,21.7183,0.233333
30 C,living worms,21.7183,3.4
30 C,living worms,21.7183,2.76667
30 C,living worms,21.7183,2.83333
30 C,living worms,21.7183,1.16667
30 C,living worms,21.7183,1.83333
30 C,living worms,21.7183,1.56667
30 C,living worms,21.7183,2.56667
30 C,living worms,21.7183,0.166667
30 C,living worms,21.7183,7.6
30 C,living worms,21.7183,2.83333
30 C,living worms,21.7183,4.56667
30 C,living worms,21.7183,5.1
30 C,living worms,21.7183,7.4
30 C,living worms,21.7183,0.333333
30 C,living worms,21.7183,1.36667
30 C,living worms,21.7183,0.166667
30 C,living worms,21.7183,7.3
30 C,living worms,21.7183,0.7
30 C,living worms,21.7183,3.73333
30 C,living worms,21.7183,2.13333
30 C,living worms,21.7183,3.36667
30 C,living worms,21.7183,0.266667
30 C,living worms,21.7183,4.83333
30 C,living worms,21.7183,2.2
30 C,living worms,21.7183,2.63333
30 C,living worms,21.7183,4.26667
30 C,living worms,21.7183,5.66667
30 C,living worms,21.7183,0.2
