series,Rg_over_lc,Re_over_lc,position_class
living worms,0.118441,0.262548,0
living worms,0.0784325,0.0875743,0
living worms,0.119047,0.336265,0
living worms,0.139878,0.00797872,0
living worms,0.149193,0.450549,0
living worms,0.091518,0.149013,0
living worms,0.101374,0.239066,0
living worms,0.100809,0.261025,0
living worms,0.0831339,0.0358056,0
living worms,0.100339,0.0696077,0
living worms,0.106706,0.0244478,0
living worms,0.0810814,0.189619,0
living worms,0.116572,0.212808,0
living worms,0.0981685,0.0523369,0
living worms,0.0797979,0.028209,0
living worms,0.105519,0.318761,0
living worms,0.0846268,0.116817,0
living worms,0.0896705,0.251502,0
living worms,0.102049,0.010386,0
living worms,0.0801236,0.0574277,0
living worms,0.068433,0.163623,0
living worms,0.0958824,0.167199,0
living worms,0.0915162,0.205322,0
living worms,0.0590857,0.181602,0
living worms,0.0694374,0.223424,0
living worms,0.0873824,0.254865,0
living worms,0.0946603,0.00841031,0
living worms,0.0968379,0.283248,0
living worms,0.0975272,0.01226,0
living worms,0.11079,0.174613,0
living worms,0.0924552,0.238047,0
living worms,0.124168,0.0463903,0
living worms,0.0946767,0.00841031,0
living worms,0.106555,0.0815085,0
living worms,0.110944,0.313525,0
living worms,0.0895275,0.189675,0
living worms,0.131241,0.399822,0
living worms,0.12774,0.360493,0
living worms,0.176629,0.438229,0
living worms,0.159677,0.525645,0
living worms,0.0856051,0.0568085,0
living worms,0.0886427,0.279401,0
living worms,0.102189,0.279458,0
living worms,0.0941535,0.104412,0
living worms,0.102459,0.26432,0
living worms,0.110719,0.148918,0
living worms,0.097673,0.122608,0
living worms,0.10065,0.223222,0
living worms,0.085925,0.242547,0
living worms,0.0552575,0.132726,0
living worms,0.08256,0.28062,0
living worms,0.0961125,0.291251,0
living worms,0.166843,0.464216,0
living worms,0.199836,0.352517,0
living worms,0.194383,0.478753,4
living worms,0.150853,0.488957,4
living worms,0.245129,0.749191,4
living worms,0.206506,0.472247,4
living worms,0.133544,0.418399,4
living worms,0.0868134,0.335362,4
living worms,0.142984,0.351225,4
living worms,0.157312,0.267562,3
living worms,0.125421,0.0132979,3
living worms,0.0746206,0.245493,3
living worms,0.118635,0.164942,4
living worms,0.191648,0.606336,4
living worms,0.122618,0.361783,4
living worms,0.0892582,0.163152,4
living worms,0.0703551,0.247355,4
living worms,0.0607531,0.133933,4
living worms,0.0898208,0.320481,4
living worms,0.0995199,0.0213181,4
living worms,0.117254,0.362779,4
living worms,0.201445,0.566714,4
living worms,0.127897,0.314463,4
living worms,0.15097,0.392729,3
living worms,0.136928,0.444734,3
living worms,0.0914735,0.308694,3
living worms,0.0774408,0.0208145,3
living worms,0.101442,0.133145,3
living worms,0.119056,0.415832,3
living worms,0.139812,0.460137,3
living worms,0.104111,0.338143,2
living worms,0.101757,0.283622,2
living worms,0.0572992,0.055102,2
living worms,0.0855962,0.242036,2
living worms,0.129154,0.360703,2
living worms,0.0723845,0.165498,2
living worms,0.106272,0.221385,2
living worms,0.161203,0.438017,2
living worms,0.220973,0.637418,3
living worms,0.199984,0.392051,3
living worms,0.141901,0.436567,3
living worms,0.0494553,0.0663962,3
living worms,0.0990211,0.293886,3
living worms,0.0827701,0.0351326,3
living worms,0.0933555,0.350302,3
living worms,0.101424,0.26186,4
living worms,0.157414,0.242547,4
living worms,0.146252,0.0660223,4
living worms,0.104059,0.144237,4
living worms,0.134828,0.332513,4
living worms,0.110963,0.312172,4
living worms,0.161075,0.536381,4
living worms,0.133131,0.367175,4
living worms,0.106358,0.247516,4
living worms,0.125101,0.335563,4
living worms,0.140699,0.377669,4
living worms,0.151061,0.44947,4
living worms,0.103231,0.158194,0
living worms,0.107884,0.314171,4
living worms,0.0852814,0.224986,4
living worms,0.114567,0.222301,0
living worms,0.120857,0.0107211,0
living worms,0.124296,0.0970836,0
living worms,0.110035,0.173714,0
living worms,0.104519,0.137939,0
living worms,0.103205,0.135044,0
living worms,0.107048,0.14036,0
living worms,0.0939814,0.20314,0
living worms,0.0910121,0.277238,0
living worms,0.0664286,0.214723,0
living worms,0.0981271,0.172816,0
living worms,0.0785089,0.183342,0
living worms,0.07777,0.262726,0
living worms,0.113429,0.240191,0
living worms,0.109092,0.194804,0
living worms,0.0713866,0.0472215,0
living worms,0.140943,0.34921,0
living worms,0.151335,0.449853,0
living worms,0.131333,0.430188,0
living worms,0.207632,0.557791,4
living worms,0.178891,0.219096,4
living worms,0.183826,0.313235,4
living worms,0.201613,0.611135,4
living worms,0.155896,0.343456,4
living worms,0.154321,0.25801,4
living worms,0.156146,0.326427,4
living worms,0.11081,0.328845,0
living worms,0.11441,0.233456,0
living worms,0.113589,0.255406,0
living worms,0.137658,0.436434,0
living worms,0.0845141,0.23302,0
living worms,0.126063,0.329701,0
living worms,0.0734205,0.00940302,0
living worms,0.0749479,0.212916,0
living worms,0.106517,0.219677,0
living worms,0.0675965,0.127021,0
living worms,0.0978207,0.108171,0
living worms,0.148072,0.352755,0
living worms,0.127731,0.338639,0
living worms,0.126458,0.427029,0
living worms,0.122289,0.157819,0
living worms,0.160369,0.496011,0
living worms,0.171215,0.550694,4
living worms,0.0982719,0.182767,4
living worms,0.103462,0.344889,0
living worms,0.108112,0.204052,0
living worms,0.0748467,0.00479462,0
living worms,0.0877452,0.145968,0
living worms,0.0751187,0.0887378,0
living worms,0.106785,0.244912,0
living worms,0.0968429,0.0151619,0
living worms,0.0967471,0.0160679,0
living worms,0.137727,0.0339031,0
living worms,0.163143,0.448958,0
living worms,0.156013,0.295718,0
living worms,0.174922,0.273335,0
living worms,0.177899,0.159069,0
living worms,0.160343,0.276855,0
living worms,0.183581,0.165461,0
living worms,0.169349,0.163974,0
living worms,0.15199,0.401334,0
living worms,0.154395,0.482568,0
living worms,0.181142,0.561077,0
living worms,0.160621,0.0279572,0
living worms,0.143729,0.468391,0
living worms,0.172955,0.347115,4
living worms,0.198068,0.568085,4
living worms,0.140491,0.447947,4
living worms,0.15293,0.440322,4
living worms,0.107508,0.366686,4
living worms,0.104395,0.34168,4
living worms,0.109042,0.355454,4
living worms,0.133031,0.368591,4
living worms,0.153675,0.479537,4
living worms,0.123653,0.329092,3
living worms,0.0869116,0.181598,3
living worms,0.0839327,0.0265957,3
living worms,0.0916459,0.191978,4
living worms,0.159867,0.519145,3
living worms,0.158078,0.19821,3
living worms,0.143514,0.430705,3
living worms,0.149074,0.396847,3
living worms,0.149969,0.0185218,3
living worms,0.143907,0.178236,3
living worms,0.159927,0.248496,3
living worms,0.165925,0.3592,3
living worms,0.179117,0.278954,3
living worms,0.121585,0.185227,3
living worms,0.147166,0.316891,2
living worms,0.143059,0.180484,2
living worms,0.163287,0.235026,2
living worms,0.109293,0.170218,2
living worms,0.157113,0.13691,2
living worms,0.173237,0.364044,1
living worms,0.166491,0.285189,1
living worms,0.15403,0.256566,2
living worms,0.11839,0.310114,1
living worms,0.177567,0.380654,1
living worms,0.16925,0.375009,1
living worms,0.186001,0.284724,1
living worms,0.147792,0.368524,1
living worms,0.131001,0.237541,1
living worms,0.0785857,0.277954,1
living worms,0.1001,0.320945,1
living worms,0.0971319,0.0112836,1
living worms,0.16995,0.307469,1
living worms,0.184427,0.534813,1
living worms,0.232589,0.725436,1
living worms,0.0736058,0.264631,1
living worms,0.0988078,0.194263,1
living worms,0.0623112,0.131978,1
living worms,0.0753689,0.220444,1
living worms,0.0962862,0.013691,1
living worms,0.133445,0.410198,1
living worms,0.124986,0.324536,1
living worms,0.121669,0.376389,1
living worms,0.0964089,0.309843,1
living worms,0.150416,0.360529,1
living worms,0.0912956,0.281494,1
living worms,0.0783713,0.191161,1
living worms,0.0906073,0.152601,1
living worms,0.0883268,0.155636,1
living worms,0.10306,0.175113,1
living worms,0.110442,0.418672,1
living worms,0.104418,0.0405094,1
living worms,0.138983,0.362779,1
living worms,0.149373,0.472104,1
living worms,0.110769,0.00940302,1
living worms,0.0918823,0.23302,1
living worms,0.230636,0.656022,1
living worms,0.095041,0.298424,1
living worms,0.105436,0.0592465,1
living worms,0.0736504,0.127722,1
living worms,0.130979,0.312839,1
living worms,0.180089,0.517904,1
living worms,0.144733,0.443874,1
living worms,0.0812095,0.037823,1
living worms,0.0779098,0.121601,1
living worms,0.118685,0.357723,1
living worms,0.0904371,0.311216,1
living worms,0.0998509,0.00958923,1
living worms,0.0714059,0.15307,1
living worms,0.0795566,0.245435,1
living worms,0.0900653,0.220941,1
living worms,0.0874678,0.304756,1
living worms,0.0618692,0.113664,1
living worms,0.0961057,0.324536,1
living worms,0.0842552,0.154261,1
living worms,0.0956923,0.0951704,1
living worms,0.115566,0.150007,1
living worms,0.101461,0.11862,1
living worms,0.0815816,0.238095,1
living worms,0.12049,0.455224,1
living worms,0.14475,0.380468,1
living worms,0.163484,0.502723,1
living worms,0.164007,0.381707,1
living worms,0.143616,0.419566,1
living worms,0.0821192,0.26837,1
living worms,0.130804,0.280396,1
living worms,0.0982112,0.277976,1
living worms,0.116233,0.284866,1
living worms,0.122992,0.263597,1
living worms,0.123949,0.369848,1
living worms,0.0732989,0.229792,1
living worms,0.127089,0.350847,1
living worms,0.118036,0.328877,1
living worms,0.135555,0.159868,1
living worms,0.0730273,0.160646,1
living worms,0.104025,0.244973,1
living worms,0.0835889,0.243946,1
living worms,0.122605,0.240618,1
living worms,0.117345,0.367801,1
living worms,0.103582,0.294856,1
living worms,0.0945191,0.191508,1
living worms,0.106063,0.205756,1
living worms,0.126056,0.361081,1
living worms,0.111079,0.27306,1
living worms,0.069637,0.163585,1
living worms,0.0748774,0.251143,1
living worms,0.0955539,0.197566,1
living worms,0.130913,0.0348039,1
living worms,0.117477,0.0239731,1
living worms,0.14239,0.0258198,1
living worms,0.123513,0.258311,1
living worms,0.122705,0.392612,1
living worms,0.195477,0.342314,1
living worms,0.102665,0.010386,1
living worms,0.0813426,0.140133,1
living worms,0.0704943,0.122867,1
living worms,0.0589199,0.0602087,1
living worms,0.124753,0.12402,1
living worms,0.1052,0.137026,1
living worms,0.0762911,0.100801,1
living worms,0.115882,0.135645,1
living worms,0.157523,0.367103,2
living worms,0.118013,0.168736,2
living worms,0.111636,0.104268,2
living worms,0.0732994,0.124127,1
living worms,0.0979344,0.0143838,1
living worms,0.133533,0.247855,1
living worms,0.157686,0.219588,1
living worms,0.07896,0.152949,1
living worms,0.143209,0.017841,1
living worms,0.145641,0.0847002,1
living worms,0.127083,0.131293,2
living worms,0.0621026,0.102704,2
living worms,0.0908643,0.185146,1
living worms,0.0994595,0.116088,1
living worms,0.156645,0.121273,1
living worms,0.163443,0.223547,1
living worms,0.162205,0.189129,1
living worms,0.0753512,0.0180871,2
living worms,0.085585,0.238566,2
living worms,0.142689,0.3672,1
living worms,0.106198,0.275936,1
living worms,0.115233,0.207719,2
living worms,0.123463,0.109026,2
living worms,0.0720532,0.166436,2
living worms,0.0734702,0.186498,2
living worms,0.0953599,0.219032,2
living worms,0.0797864,0.211541,2
living worms,0.110094,0.221644,2
living worms,0.0946006,0.151111,2
living worms,0.156539,0.382318,1
living worms,0.119316,0.134486,1
living worms,0.149363,0.320504,1
living worms,0.144218,0.221528,1
living worms,0.165376,0.430163,1
living worms,0.113446,0.288934,1
living worms,0.100276,0.218344,1
living worms,0.116798,0.0600764,1
living worms,0.115637,0.131676,1
living worms,0.105641,0.31519,1
living worms,0.0885256,0.216755,1
living worms,0.136766,0.348196,1
living worms,0.122338,0.420467,1
living worms,0.163817,0.521338,1
living worms,0.102758,0.351311,1
living worms,0.136545,0.292798,1
living worms,0.0742583,0.176987,1
living worms,0.100539,0.197687,1
living worms,0.130091,0.385631,1
living worms,0.115556,0.31165,1
living worms,0.121015,0.197454,1
living worms,0.0981751,0.351069,1
living worms,0.113953,0.378992,1
living worms,0.104038,0.0506368,1
living worms,0.101021,0.319772,1
living worms,0.104944,0.175904,1
living worms,0.130862,0.123061,1
living worms,0.0841449,0.0874935,1
living worms,0.0554418,0.0939643,1
living worms,0.056064,0.109051,1
living worms,0.0739539,0.121913,1
living worms,0.0772404,0.124305,1
living worms,0.0747823,0.11894,1
living worms,0.0681219,0.122514,1
living worms,0.123934,0.417159,1
living worms,0.112959,0.310764,1
living worms,0.115574,0.375238,1
living worms,0.0772783,0.218688,1
living worms,0.0640081,0.0185218,1
living worms,0.0687017,0.117293,1
living worms,0.0971307,0.227953,1
living worms,0.120086,0.255904,1
living worms,0.10998,0.326776,1
living worms,0.093733,0.334295,1
living worms,0.0846458,0.248254,1
living worms,0.0716119,0.126225,1
living worms,0.0855212,0.292363,1
living worms,0.0615769,0.116931,1
living worms,0.0581994,0.115332,1
living worms,0.0490412,0.0811279,1
living worms,0.0893842,0.149789,1
living worms,0.0976769,0.31893,1
living worms,0.0735694,0.0410515,1
living worms,0.0844288,0.2095,1
living worms,0.113478,0.33871,1
living worms,0.14326,0.215491,1
living worms,0.10251,0.346718,1
living worms,0.126143,0.432199,1
living worms,0.118047,0.419813,1
living worms,0.0730386,0.0150448,1
living worms,0.124371,0.468238,1
living worms,0.105436,0.187519,1
living worms,0.0745314,0.21815,1
living worms,0.056354,0.151969,1
living worms,0.0637724,0.0461611,1
living worms,0.0683081,0.0778238,1
living worms,0.0669249,0.212308,1
living worms,0.107693,0.3435,1
living worms,0.0932928,0.00841031,1
living worms,0.128026,0.243409,1
living worms,0.0995766,0.198513,1
living worms,0.151283,0.272331,1
living worms,0.106241,0.163299,1
living worms,0.129141,0.421461,1
living worms,0.16928,0.310482,1
living worms,0.0771345,0.26995,1
living worms,0.108949,0.155636,1
living worms,0.0963084,0.258147,1
living worms,0.111164,0.332489,1
living worms,0.0583703,0.126944,1
living worms,0.108402,0.29166,1
living worms,0.0977956,0.215491,1
living worms,0.0921381,0.305461,1
living worms,0.104855,0.24637,1
living worms,0.115088,0.361822,1
living worms,0.111483,0.322141,1
living worms,0.105566,0.276711,1
living worms,0.084309,0.151415,1
living worms,0.126649,0.35993,1
living worms,0.119561,0.0109657,1
living worms,0.101077,0.254296,1
living worms,0.163229,0.317955,1
living worms,0.121855,0.374068,1
living worms,0.124062,0.438084,1
living worms,0.133791,0.423083,1
living worms,0.147282,0.402961,1
living worms,0.153319,0.480083,1
living worms,0.139798,0.311182,1
living worms,0.155387,0.138413,1
living worms,0.154666,0.420419,1
living worms,0.159391,0.0453884,1
living worms,0.196267,0.43888,1
living worms,0.105998,0.0613002,1
living worms,0.10483,0.148329,1
living worms,0.12166,0.0453884,1
living worms,0.11779,0.0177416,1
living worms,0.137459,0.0420516,1
living worms,0.109768,0.378055,1
living worms,0.0759842,0.211775,1
living worms,0.0731026,0.256735,1
living worms,0.101732,0.257474,1
living worms,0.135298,0.160646,1
living worms,0.172438,0.202674,1
living worms,0.195137,0.444436,1
living worms,0.191994,0.531416,1
