series,t_min,x_cm_mm
model 20 C,12.3833,3.80115
model 20 C,12.4,3.81295
model 20 C,12.4167,3.8985
model 20 C,12.4333,3.91505
model 20 C,12.45,3.80955
model 20 C,12.4667,3.69085
model 20 C,12.4833,3.42715
model 20 C,12.5,3.3271
model 20 C,12.5167,3.14655
model 20 C,12.5333,2.9667
model 20 C,12.55,2.8172
model 20 C,12.5667,2.91215
model 20 C,12.5833,3.0279
model 20 C,12.6,3.1094
model 20 C,12.6167,3.4735
model 20 C,12.6333,3.65675
model 20 C,12.65,3.70605
model 20 C,12.6667,3.94935
model 20 C,12.6833,4.00365
model 20 C,12.7,4.13505
model 20 C,12.7167,4.3275
model 20 C,12.7333,4.3605
model 20 C,12.75,4.35175
model 20 C,12.7667,4.42395
model 20 C,12.7833,4.46755
model 20 C,12.8,4.4993
model 20 C,12.8167,4.80055
model 20 C,12.8333,5.0681
model 20 C,12.85,5.0549
model 20 C,12.8667,5.3372
model 20 C,12.8833,5.1168
model 20 C,12.9,4.9832
model 20 C,12.9167,4.8122
model 20 C,12.9333,4.70575
model 20 C,12.95,4.48045
model 20 C,12.9667,4.40955
model 20 C,12.9833,4.486
model 20 C,13,4.56965
model 20 C,13.0167,4.70555
model 20 C,13.0333,5.04615
model 20 C,13.05,4.9703
model 20 C,13.0667,5.0165
model 20 C,13.0833,5.5221
model 20 C,13.1,5.65895
model 20 C,13.1167,5.9475
model 20 C,13.1333,6.3013
model 20 C,13.15,6.68875
model 20 C,13.1667,7.4455
model 20 C,13.1833,8.2569
model 20 C,13.2,8.8411
model 20 C,13.2167,9.7538
model 20 C,13.2333,10.7461
model 20 C,13.25,11.5001
model 20 C,13.2667,12.3826
model 20 C,13.2833,13.2463
model 20 C,13.3,14.3747
model 20 C,13.3167,15.5488
model 20 C,13.3333,16.6829
model 20 C,13.35,17.907
model 20 C,13.3667,18.8844
model 20 C,13.3833,20.0448
model 20 C,13.4,21.1923
model 20 C,13.4167,22.2207
model 20 C,13.4333,23.5123
model 20 C,13.45,24.6194
model 20 C,13.4667,25.6077
model 20 C,13.4833,26.3236
model 20 C,13.5,27.0237
model 20 C,13.5167,27.8861
model 20 C,13.5333,28.3978
model 20 C,13.55,28.7525
model 20 C,13.5667,28.9716
model 20 C,13.5833,29.1104
model 20 C,13.6,29.0477
model 20 C,13.6167,28.4772
model 20 C,13.6333,28.3624
model 20 C,13.65,27.9119
model 20 C,13.6667,27.5526
model 20 C,13.6833,26.9994
model 20 C,13.7,26.5282
model 20 C,13.7167,26.0901
model 20 C,13.7333,25.8051
model 20 C,13.75,25.4992
model 20 C,13.7667,25.4202
model 20 C,13.7833,25.6187
model 20 C,13.8,26.0723
model 20 C,13.8167,26.5123
model 20 C,13.8333,27.1876
model 20 C,13.85,28.0217
model 20 C,13.8667,28.8533
model 20 C,13.8833,29.4059
model 20 C,13.9,30.228
model 20 C,13.9167,30.695
model 20 C,13.9333,31.0524
model 20 C,13.95,31.2438
model 20 C,13.9667,31.1473
model 20 C,13.9833,30.9579
model 20 C,14,30.7431
model 20 C,14.0167,30.7074
model 20 C,14.0333,30.2728
model 20 C,14.05,29.8026
model 20 C,14.0667,28.8628
model 20 C,14.0833,27.9378
model 20 C,14.1,26.6022
model 20 C,14.1167,25.3559
model 20 C,14.1333,24.2528
model 20 C,14.15,22.9306
model 20 C,14.1667,21.622
model 20 C,14.1833,20.5761
model 20 C,14.2,19.3313
model 20 C,14.2167,18.3312
model 20 C,14.2333,17.0566
model 20 C,14.25,15.8285
model 20 C,14.2667,14.4627
model 20 C,14.2833,13.1907
model 20 C,14.3,11.8526
model 20 C,14.3167,10.8351
model 20 C,14.3333,10.0543
model 20 C,14.35,9.2328
model 20 C,14.3667,8.84495
model 20 C,14.3833,8.3988
model 20 C,14.4,8.06655
model 20 C,14.4167,7.78745
model 20 C,14.4333,7.52765
model 20 C,14.45,7.5637
model 20 C,14.4667,7.8862
model 20 C,14.4833,7.9661
model 20 C,14.5,8.3631
model 20 C,14.5167,8.8321
model 20 C,14.5333,9.5025
model 20 C,14.55,10.306
model 20 C,14.5667,11.3436
model 20 C,14.5833,12.4451
model 20 C,14.6,13.331
model 20 C,14.6167,14.4272
model 20 C,14.6333,15.2105
