panel,series,t_min,angular_msd_rad2,fitted_D_theta_per_min,translational_msd_mm2,plateau_mm2,tau_d_min,x_mm,y_mm,counts,temperature_C,tau_theta_s,tau_d_s,tau_theta_min,tau_tr_min,fa_nN,kappa_over_uE,T_star,tau_tr_inf_min,n_runs,pe_number,tau_tr_over_tau_tr_inf
A,living worms 20 C,1.36667,27.4748,9.41889,,,,,,,,,,,,,,,,,,
A,living worms 20 C,1.4,19.8031,9.41889,,,,,,,,,,,,,,,,,,
A,living worms 20 C,1.43333,20.0895,9.41889,,,,,,,,,,,,,,,,,,
A,living worms 20 C,1.46667,20.3051,9.41889,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.0666667,1.61686,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.0721088,1.71938,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.077551,1.8219,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.0829932,1.92442,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.0884354,2.02694,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.0938776,2.12946,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.0993197,2.23198,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.104762,2.33449,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.110204,2.43701,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.115646,2.53953,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.121088,2.64205,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.126531,2.74457,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.131973,2.84709,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.137415,2.94961,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.142857,3.05212,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.148299,3.15464,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.153741,3.25716,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.159184,3.35968,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.164626,3.4622,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.170068,3.56472,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.17551,3.66724,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.180952,3.76975,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.186395,3.87227,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.191837,3.97479,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.197279,4.07731,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.202721,4.17983,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.208163,4.28235,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.213605,4.38487,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.219048,4.48738,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.22449,4.5899,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.229932,4.69242,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.235374,4.79494,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.240816,4.89746,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.246259,4.99998,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.251701,5.1025,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.257143,5.20501,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.262585,5.30753,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.268027,5.41005,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.273469,5.51257,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.278912,5.61509,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.284354,5.71761,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.289796,5.82013,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.295238,5.92264,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.30068,6.02516,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.306122,6.12768,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.311565,6.2302,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.317007,6.33272,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.322449,6.43524,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.327891,6.53776,,,,,,,,,,,,,,,,,,,
A,linear fit 20 C,0.333333,6.64027,,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.0333333,1.41295,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.0666667,2.47072,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.1,3.52239,14.2168,,,,,,,,,,,,,,,,,,
A,living worms 30 C,0.133333,4.55158,14.2168,,,,,,,,,,,,,,,,,,
