series,contour_length_mm,tau_tr_min
living worms,24.9221,0.166667
living worms,24.9221,0.866667
living worms,24.9221,7.1
living worms,24.9221,1.9
living worms,24.9221,1.7
living worms,24.9221,1.26667
living worms,24.9221,1.83333
living worms,24.9221,2.36667
living worms,24.9221,0.7
living worms,24.9221,2.46667
living worms,24.9221,0.266667
living worms,24.9221,0.266667
living worms,24.9221,0.966667
living worms,24.9221,2.5
living worms,24.9221,0.333333
living worms,24.9221,0.866667
living worms,24.9221,6.4
living worms,24.9221,1.06667
living worms,24.9221,1.33333
living worms,24.9221,0.6
living worms,24.9221,0.533333
living worms,30.7063,0.933333
living worms,30.7063,2.2
living worms,30.7063,0.6
living worms,30.7063,0.266667
living worms,30.7063,0.7
living worms,30.7063,0.233333
living worms,30.7063,0.266667
living worms,30.7063,0.933333
living worms,30.7063,0.8
living worms,30.7063,1.23333
living worms,30.7063,1.03333
living worms,30.7063,0.6
living worms,30.7063,0.333333
living worms,30.7063,0.166667
living worms,30.7063,0.833333
living worms,30.7063,1.16667
living worms,30.7063,0.4
living worms,30.7063,0.433333
living worms,30.7063,0.466667
living worms,30.7063,0.3
living worms,30.7063,0.533333
living worms,30.7063,2.36667
living worms,30.7063,0.633333
living worms,30.7063,0.633333
living worms,30.7063,0.5
living worms,30.7063,0.4
living worms,30.7063,0.6
living worms,30.7063,1.1
living worms,30.7063,0.366667
living worms,30.7063,0.433333
living worms,30.7063,0.5
living worms,30.7063,0.166667
living worms,30.7063,0.266667
living worms,30.7063,0.266667
living worms,30.7063,0.966667
living worms,30.7063,0.6
living worms,30.7063,0.766667
living worms,30.7063,0.5
living worms,30.7063,2.9
living worms,30.7063,1.06667
living worms,30.7063,0.733333
living worms,30.7063,6.96667
living worms,30.7063,2.46667
living worms,30.7063,2.06667
living worms,30.7063,1
living worms,30.7063,0.166667
living worms,30.7063,9.8
living worms,30.7063,2.96667
living worms,30.7063,3
living worms,30.7063,0.7
living worms,30.7063,0.2
living worms,30.7063,3.73333
living worms,30.7063,0.7
living worms,30.7063,2
living worms,30.7063,0.9
living worms,30.7063,3.53333
living worms,30.7063,0.9
living worms,30.7063,0.666667
living worms,33.4755,0.166667
living worms,33.4755,3.73333
living worms,33.4755,0.633333
living worms,33.4755,0.6
living worms,33.4755,0.966667
living worms,33.4755,0.333333
living worms,33.4755,1.23333
living worms,33.4755,0.4
living worms,33.4755,0.766667
living worms,33.4755,4.06667
living worms,33.4755,2.7
living worms,33.4755,1.06667
living worms,33.4755,3.36667
living worms,33.4755,0.966667
living worms,33.4755,0.666667
living worms,33.4755,1.96667
living worms,33.4755,0.2
living worms,33.4755,0.866667
living worms,33.4755,0.466667
living worms,33.4755,0.166667
living worms,33.4755,0.6
living worms,33.4755,0.166667
living worms,33.4755,0.833333
living worms,33.4755,0.333333
living worms,33.4755,0.333333
living worms,33.4755,0.2
living worms,33.4755,0.833333
living worms,33.4755,0.166667
living worms,33.4755,0.233333
living worms,33.4755,0.833333
living worms,33.4755,0.833333
living worms,33.4755,0.566667
living worms,33.4755,2.2
living worms,33.4755,0.7
living worms,33.4755,0.966667
living worms,33.4755,0.833333
living worms,33.4755,0.966667
living worms,33.4755,1.46667
living worms,33.4755,0.7
living worms,33.4755,0.266667
living worms,33.4755,0.166667
living worms,33.4755,1.06667
living worms,33.4755,0.666667
living worms,33.4755,0.9
living worms,33.4755,0.766667
living worms,33.4755,0.366667
living worms,33.4755,0.9
living worms,33.4755,0.566667
living worms,33.4755,0.333333
living worms,33.4755,0.533333
living worms,33.4755,0.933333
living worms,33.4755,0.366667
living worms,35.8233,5.6
living worms,35.8233,0.866667
living worms,35.8233,0.5
living worms,35.8233,0.8
living worms,35.8233,0.2
living worms,35.8233,1.16667
living worms,35.8233,0.166667
living worms,35.8233,0.2
living worms,35.8233,0.233333
living worms,35.8233,0.166667
living worms,35.8233,0.633333
living worms,35.8233,0.533333
living worms,35.8233,0.5
living worms,35.8233,0.2
living worms,35.8233,0.166667
living worms,35.8233,0.666667
living worms,35.8233,0.366667
living worms,35.8233,3.5
living worms,35.8233,1.13333
living worms,35.8233,0.4
living worms,35.8233,0.933333
living worms,35.8233,0.2
living worms,35.8233,0.433333
living worms,35.8233,0.266667
living worms,35.8233,0.4
living worms,35.8233,0.166667
living worms,35.8233,0.633333
living worms,35.8233,0.566667
living worms,35.8233,0.266667
living worms,35.8233,0.266667
living worms,35.8233,0.266667
living worms,35.8233,0.833333
living worms,35.8233,0.4
living worms,35.8233,0.4
living worms,35.8233,0.433333
living worms,35.8233,0.366667
living worms,35.8233,0.433333
living worms,35.8233,0.166667
living worms,35.8233,0.566667
living worms,35.8233,0.2
living worms,35.8233,0.266667
living worms,35.8233,0.5
living worms,35.8233,0.166667
