panel,series,t_min,x_cm_mm,probability_density_per_mm,Rg_over_lc,Re_over_lc,probability
C,living worm 20 C,10.2333,81.847,,,,
C,living worm 20 C,10.2667,78.889,,,,
C,living worm 20 C,10.3,75.285,,,,
C,living worm 20 C,10.3333,69.675,,,,
C,living worm 20 C,10.3667,68.825,,,,
C,living worm 20 C,10.4,63.64,,,,
C,living worm 20 C,10.4333,60.903,,,,
C,living worm 20 C,10.4667,57.061,,,,
C,living worm 20 C,10.5,52.063,,,,
C,living worm 20 C,10.5333,50.669,,,,
C,living worm 20 C,10.5667,46.997,,,,
C,living worm 20 C,10.6,41.217,,,,
C,living worm 20 C,10.6333,39.245,,,,
C,living worm 20 C,10.6667,36.253,,,,
C,living worm 20 C,10.7,33.669,,,,
C,living worm 20 C,10.7333,30.745,,,,
C,living worm 20 C,10.7667,26.427,,,,
C,living worm 20 C,10.8,24.523,,,,
C,living worm 20 C,10.8333,20.545,,,,
C,living worm 20 C,10.8667,17.791,,,,
C,living worm 20 C,10.9,16.329,,,,
C,living worm 20 C,10.9333,12.351,,,,
C,living worm 20 C,10.9667,11.365,,,,
C,living worm 20 C,11,9.529,,,,
C,living worm 20 C,11.0333,9.257,,,,
C,living worm 20 C,11.0667,8.203,,,,
C,living worm 20 C,11.1,6.945,,,,
C,living worm 20 C,11.1333,6.809,,,,
C,living worm 20 C,11.1667,5.891,,,,
C,living worm 20 C,11.2,6.095,,,,
C,living worm 20 C,11.2333,4.412,,,,
C,living worm 20 C,11.2667,5.075,,,,
C,living worm 20 C,11.3,5.245,,,,
C,living worm 20 C,11.3333,4.463,,,,
C,living worm 20 C,11.3667,4.361,,,,
C,living worm 20 C,11.4,3.613,,,,
C,living worm 20 C,11.4333,2.627,,,,
C,living worm 20 C,11.4667,2.865,,,,
C,living worm 20 C,11.5,2.797,,,,
C,living worm 20 C,11.5333,3.205,,,,
C,living worm 20 C,11.5667,4.497,,,,
C,living worm 20 C,11.6,3.681,,,,
C,living worm 20 C,11.6333,2.593,,,,
C,living worm 20 C,11.6667,3.783,,,,
C,living worm 20 C,11.7,2.967,,,,
C,living worm 20 C,11.7333,4.599,,,,
