series,Rg_over_lc,Re_over_lc,log10_probability_ratio
living worms 30 C over 20 C,0.213,0.533,-0.324394
living worms 30 C over 20 C,0.213,0.555,-0.352607
living worms 30 C over 20 C,0.213,0.577,-0.408449
living worms 30 C over 20 C,0.213,0.599,-0.456405
living worms 30 C over 20 C,0.213,0.621,-0.43756
living worms 30 C over 20 C,0.213,0.643,-0.405877
living worms 30 C over 20 C,0.213,0.665,-0.401855
living worms 30 C over 20 C,0.213,0.687,-0.390295
living worms 30 C over 20 C,0.213,0.709,-0.375906
living worms 30 C over 20 C,0.213,0.731,-0.360891
living worms 30 C over 20 C,0.213,0.753,-0.366746
living worms 30 C over 20 C,0.219,0.401,-0.264372
living worms 30 C over 20 C,0.219,0.423,-0.277384
living worms 30 C over 20 C,0.219,0.445,-0.287605
living worms 30 C over 20 C,0.219,0.467,-0.316649
living worms 30 C over 20 C,0.219,0.489,-0.339006
living worms 30 C over 20 C,0.219,0.511,-0.359338
living worms 30 C over 20 C,0.219,0.533,-0.365474
living worms 30 C over 20 C,0.219,0.555,-0.401559
living worms 30 C over 20 C,0.219,0.577,-0.482102
living worms 30 C over 20 C,0.219,0.599,-0.534771
living worms 30 C over 20 C,0.219,0.621,-0.506625
living worms 30 C over 20 C,0.219,0.643,-0.473124
living worms 30 C over 20 C,0.219,0.665,-0.475402
living worms 30 C over 20 C,0.219,0.687,-0.467334
living worms 30 C over 20 C,0.219,0.709,-0.438831
living worms 30 C over 20 C,0.219,0.731,-0.408968
living worms 30 C over 20 C,0.219,0.753,-0.414635
living worms 30 C over 20 C,0.219,0.775,-0.455495
living worms 30 C over 20 C,0.225,0.445,-0.281381
living worms 30 C over 20 C,0.225,0.467,-0.316147
living worms 30 C over 20 C,0.225,0.489,-0.345085
living worms 30 C over 20 C,0.225,0.511,-0.370467
living worms 30 C over 20 C,0.225,0.533,-0.381221
living worms 30 C over 20 C,0.225,0.555,-0.432137
living worms 30 C over 20 C,0.225,0.577,-0.540425
living worms 30 C over 20 C,0.225,0.599,-0.608302
living worms 30 C over 20 C,0.225,0.621,-0.594087
living worms 30 C over 20 C,0.225,0.643,-0.574971
living worms 30 C over 20 C,0.225,0.665,-0.58461
living worms 30 C over 20 C,0.225,0.687,-0.576425
living worms 30 C over 20 C,0.225,0.709,-0.525798
living worms 30 C over 20 C,0.225,0.731,-0.476938
living worms 30 C over 20 C,0.225,0.753,-0.481698
living worms 30 C over 20 C,0.225,0.775,-0.520865
living worms 30 C over 20 C,0.225,0.797,-0.537972
living worms 30 C over 20 C,0.231,0.511,-0.36921
living worms 30 C over 20 C,0.231,0.533,-0.419953
living worms 30 C over 20 C,0.231,0.555,-0.488527
living worms 30 C over 20 C,0.231,0.577,-0.588065
living worms 30 C over 20 C,0.231,0.599,-0.633108
living worms 30 C over 20 C,0.231,0.621,-0.629718
living worms 30 C over 20 C,0.231,0.643,-0.653992
living worms 30 C over 20 C,0.231,0.665,-0.689975
living worms 30 C over 20 C,0.231,0.687,-0.674857
living worms 30 C over 20 C,0.231,0.709,-0.608152
living worms 30 C over 20 C,0.231,0.731,-0.555618
living worms 30 C over 20 C,0.231,0.753,-0.552971
living worms 30 C over 20 C,0.231,0.775,-0.570322
living worms 30 C over 20 C,0.231,0.797,-0.56955
living worms 30 C over 20 C,0.237,0.555,-0.556344
living worms 30 C over 20 C,0.237,0.577,-0.60791
living worms 30 C over 20 C,0.237,0.599,-0.61197
living worms 30 C over 20 C,0.237,0.621,-0.607238
living worms 30 C over 20 C,0.237,0.643,-0.66035
living worms 30 C over 20 C,0.237,0.665,-0.720665
living worms 30 C over 20 C,0.237,0.687,-0.719674
living worms 30 C over 20 C,0.237,0.709,-0.673925
living worms 30 C over 20 C,0.237,0.731,-0.635287
living worms 30 C over 20 C,0.237,0.753,-0.618221
living worms 30 C over 20 C,0.237,0.775,-0.60022
living worms 30 C over 20 C,0.237,0.797,-0.577464
living worms 30 C over 20 C,0.237,0.819,-0.591732
living worms 30 C over 20 C,0.243,0.599,-0.586543
living worms 30 C over 20 C,0.243,0.621,-0.594651
living worms 30 C over 20 C,0.243,0.643,-0.662681
living worms 30 C over 20 C,0.243,0.665,-0.73113
living worms 30 C over 20 C,0.243,0.687,-0.737643
living worms 30 C over 20 C,0.243,0.709,-0.721801
living worms 30 C over 20 C,0.243,0.731,-0.699106
living worms 30 C over 20 C,0.243,0.753,-0.674193
living worms 30 C over 20 C,0.243,0.775,-0.634853
living worms 30 C over 20 C,0.243,0.797,-0.590063
living worms 30 C over 20 C,0.243,0.819,-0.593326
living worms 30 C over 20 C,0.243,0.841,-0.635737
living worms 30 C over 20 C,0.249,0.643,-0.699672
living worms 30 C over 20 C,0.249,0.665,-0.78407
living worms 30 C over 20 C,0.249,0.687,-0.773361
living worms 30 C over 20 C,0.249,0.709,-0.751382
living worms 30 C over 20 C,0.249,0.731,-0.722073
living worms 30 C over 20 C,0.249,0.753,-0.690792
living worms 30 C over 20 C,0.249,0.775,-0.660762
living worms 30 C over 20 C,0.249,0.797,-0.619001
living worms 30 C over 20 C,0.249,0.819,-0.612198
living worms 30 C over 20 C,0.249,0.841,-0.652215
living worms 30 C over 20 C,0.249,0.863,-0.695487
living worms 30 C over 20 C,0.255,0.687,-0.8
living worms 30 C over 20 C,0.255,0.709,-0.750035
living worms 30 C over 20 C,0.255,0.731,-0.709235
living worms 30 C over 20 C,0.255,0.753,-0.686373
living worms 30 C over 20 C,0.255,0.775,-0.684635
living worms 30 C over 20 C,0.255,0.797,-0.659904
living worms 30 C over 20 C,0.255,0.819,-0.645006
living worms 30 C over 20 C,0.255,0.841,-0.677654
living worms 30 C over 20 C,0.255,0.863,-0.733029
living worms 30 C over 20 C,0.261,0.753,-0.677192
living worms 30 C over 20 C,0.261,0.775,-0.705618
living worms 30 C over 20 C,0.261,0.797,-0.681312
living worms 30 C over 20 C,0.261,0.819,-0.666715
living worms 30 C over 20 C,0.261,0.841,-0.721138
living worms 30 C over 20 C,0.261,0.863,-0.8
living worms 30 C over 20 C,0.261,0.885,-0.8
living worms 30 C over 20 C,0.267,0.797,-0.685145
living worms 30 C over 20 C,0.267,0.819,-0.680688
living worms 30 C over 20 C,0.267,0.841,-0.770825
living worms 30 C over 20 C,0.267,0.863,-0.8
living worms 30 C over 20 C,0.267,0.885,-0.8
living worms 30 C over 20 C,0.267,0.907,-0.8
living worms 30 C over 20 C,0.273,0.863,-0.8
living worms 30 C over 20 C,0.273,0.885,-0.8
living worms 30 C over 20 C,0.273,0.907,-0.8
living worms 30 C over 20 C,0.279,0.907,-0.8
living worms 30 C over 20 C,0.279,0.929,-0.8
living worms 30 C over 20 C,0.285,0.973,-0.8
