series,t_min,x_cm_mm
living worm 20 C,16.2333,4.191
living worm 20 C,16.2667,3.375
living worm 20 C,16.3,3.001
living worm 20 C,16.3333,3.409
living worm 20 C,16.3667,3.375
living worm 20 C,16.4,5.517
living worm 20 C,16.4333,3.137
living worm 20 C,16.4667,3.307
living worm 20 C,16.5,2.831
living worm 20 C,16.5333,2.899
living worm 20 C,16.5667,2.457
living worm 20 C,16.6,3.205
living worm 20 C,16.6333,4.225
living worm 20 C,16.6667,5.449
living worm 20 C,16.7,3.46
living worm 20 C,16.7333,4.191
living worm 20 C,16.7667,4.463
living worm 20 C,16.8,3.987
living worm 20 C,16.8333,3.953
living worm 20 C,16.8667,3.341
living worm 20 C,16.9,5.211
living worm 20 C,16.9333,4.531
living worm 20 C,16.9667,4.327
living worm 20 C,17,4.361
living worm 20 C,17.0333,4.531
living worm 20 C,17.0667,4.293
living worm 20 C,17.1,5.109
living worm 20 C,17.1333,3.239
living worm 20 C,17.1667,5.109
living worm 20 C,17.2,5.653
living worm 20 C,17.2333,4.973
living worm 20 C,17.2667,3.817
living worm 20 C,17.3,3.239
living worm 20 C,17.3333,4.939
living worm 20 C,17.3667,8.339
living worm 20 C,17.4,9.427
living worm 20 C,17.4333,10.515
living worm 20 C,17.4667,10.685
living worm 20 C,17.5,9.563
living worm 20 C,17.5333,10.719
living worm 20 C,17.5667,11.909
living worm 20 C,17.6,13.235
living worm 20 C,17.6333,14.867
living worm 20 C,17.6667,17.179
living worm 20 C,17.7,19.831
living worm 20 C,17.7333,23.469
living worm 20 C,17.7667,26.495
living worm 20 C,17.8,27.379
living worm 20 C,17.8333,32.275
living worm 20 C,17.8667,36.049
living worm 20 C,17.9,40.945
living worm 20 C,17.9333,45.535
living worm 20 C,17.9667,50.159
living worm 20 C,18,51.587
living worm 20 C,18.0333,55.021
living worm 20 C,18.0667,56.653
living worm 20 C,18.1,54.987
living worm 20 C,18.1333,54.545
living worm 20 C,18.1667,55.429
living worm 20 C,18.2,55.055
living worm 20 C,18.2333,53.678
living worm 20 C,18.2667,53.355
living worm 20 C,18.3,52.811
living worm 20 C,18.3333,52.913
living worm 20 C,18.3667,53.117
living worm 20 C,18.4,53.253
living worm 20 C,18.4333,55.429
living worm 20 C,18.4667,55.395
living worm 20 C,18.5,54.749
living worm 20 C,18.5333,54.511
