# Translocation events (aligned with end1, detected with com)
# t_start(s), t_end(s), duration(s), direction, type, worm_id
1006.0, 1028.0, 22.0, L2L, attempt, 241114_worm_3
1040.0, 1042.0, 2.0, L2L, attempt, 241114_worm_3
1302.0, 1306.0, 4.0, L2L, attempt, 241114_worm_3
1308.0, 1312.0, 4.0, L2L, attempt, 241114_worm_3
1318.0, 1332.0, 14.0, L2L, attempt, 241114_worm_3
1334.0, 1348.0, 14.0, L2L, attempt, 241114_worm_3
1352.0, 1404.0, 52.0, L2L, attempt, 241114_worm_3
1592.0, 1594.0, 2.0, L2L, attempt, 241114_worm_3
1636.0, 1658.0, 22.0, L2L, attempt, 241114_worm_3
2138.0, 2140.0, 2.0, L2L, attempt, 241114_worm_3
2142.0, 2144.0, 2.0, L2L, attempt, 241114_worm_3
2146.0, 2176.0, 30.0, L2L, attempt, 241114_worm_3
2626.0, 2638.0, 12.0, L2L, attempt, 241114_worm_3
2706.0, 2762.0, 56.0, L2L, attempt, 241114_worm_3
3012.0, 3018.0, 6.0, L2L, attempt, 241114_worm_3
12.0, 162.0, 150.0, L2L, attempt, 241114_worm_4
168.0, 294.0, 126.0, L2L, attempt, 241114_worm_4
310.0, 410.0, 100.0, L2L, attempt, 241114_worm_4
440.0, 488.0, 48.0, L2L, attempt, 241114_worm_4
1090.0, 1092.0, 2.0, L2L, attempt, 241114_worm_4
1094.0, 1096.0, 2.0, L2L, attempt, 241114_worm_4
1100.0, 1102.0, 2.0, L2L, attempt, 241114_worm_4
1124.0, 1202.0, 78.0, L2L, attempt, 241114_worm_4
1326.0, 1328.0, 2.0, L2L, attempt, 241114_worm_4
1338.0, 1356.0, 18.0, L2L, attempt, 241114_worm_4
1418.0, 1420.0, 2.0, L2L, attempt, 241114_worm_4
1422.0, 1424.0, 2.0, L2L, attempt, 241114_worm_4
1428.0, 1430.0, 2.0, L2L, attempt, 241114_worm_4
1434.0, 1490.0, 56.0, L2L, attempt, 241114_worm_4
2004.0, 2012.0, 8.0, L2L, attempt, 241114_worm_4
2014.0, 2016.0, 2.0, L2L, attempt, 241114_worm_4
2056.0, 2236.0, 180.0, L2L, attempt, 241114_worm_4
2390.0, 2392.0, 2.0, L2L, attempt, 241114_worm_4
2416.0, 2420.0, 4.0, L2L, attempt, 241114_worm_4
2424.0, 2430.0, 6.0, L2L, attempt, 241114_worm_4
2434.0, 2442.0, 8.0, L2L, attempt, 241114_worm_4
2446.0, 2452.0, 6.0, L2L, attempt, 241114_worm_4
270.0, 356.0, 86.0, L2L, attempt, 241114_worm_5
520.0, 610.0, 90.0, L2L, attempt, 241114_worm_5
1172.0, 1284.0, 112.0, L2L, attempt, 241114_worm_5
1646.0, 1652.0, 6.0, L2L, attempt, 241114_worm_5
1676.0, 1720.0, 44.0, L2L, attempt, 241114_worm_5
1868.0, 1870.0, 2.0, L2L, attempt, 241114_worm_5
1874.0, 1876.0, 2.0, L2L, attempt, 241114_worm_5
1892.0, 1894.0, 2.0, L2L, attempt, 241114_worm_5
1896.0, 1898.0, 2.0, L2L, attempt, 241114_worm_5
1958.0, 2014.0, 56.0, L2L, attempt, 241114_worm_5
2164.0, 2196.0, 32.0, L2L, attempt, 241114_worm_5
2282.0, 2312.0, 30.0, L2L, attempt, 241114_worm_5
2526.0, 2528.0, 2.0, L2L, attempt, 241114_worm_5
2550.0, 2552.0, 2.0, L2L, attempt, 241114_worm_5
2554.0, 2556.0, 2.0, L2L, attempt, 241114_worm_5
2558.0, 2560.0, 2.0, L2L, attempt, 241114_worm_5
2562.0, 2566.0, 4.0, L2L, attempt, 241114_worm_5
12.0, 116.0, 104.0, L2L, attempt, 241114_worm_6
18.0, 50.0, 32.0, L2L, attempt, 241118_worm_1
58.0, 110.0, 52.0, L2L, attempt, 241118_worm_1
130.0, 500.0, 370.0, L2L, attempt, 241118_worm_1
806.0, 868.0, 62.0, L2L, attempt, 241118_worm_1
870.0, 942.0, 72.0, L2L, attempt, 241118_worm_1
946.0, 950.0, 4.0, L2L, attempt, 241118_worm_1
1090.0, 1108.0, 18.0, L2L, attempt, 241118_worm_1
1128.0, 1162.0, 34.0, L2L, attempt, 241118_worm_1
280.0, 308.0, 28.0, L2L, attempt, 241118_worm_2
362.0, 386.0, 24.0, L2L, attempt, 241118_worm_2
430.0, 444.0, 14.0, L2L, attempt, 241118_worm_2
450.0, 454.0, 4.0, L2L, attempt, 241118_worm_2
634.0, 636.0, 2.0, L2L, attempt, 241118_worm_2
638.0, 642.0, 4.0, L2L, attempt, 241118_worm_2
646.0, 648.0, 2.0, L2L, attempt, 241118_worm_2
660.0, 662.0, 2.0, L2L, attempt, 241118_worm_2
712.0, 714.0, 2.0, L2L, attempt, 241118_worm_2
720.0, 930.0, 210.0, L2L, attempt, 241118_worm_2
998.0, 1136.0, 138.0, L2L, attempt, 241118_worm_2
76.0, 160.0, 84.0, L2L, attempt, 241118_worm_3
280.0, 394.0, 114.0, L2L, attempt, 241118_worm_3
456.0, 526.0, 70.0, L2L, attempt, 241118_worm_3
532.0, 546.0, 14.0, L2L, attempt, 241118_worm_3
588.0, 628.0, 40.0, L2L, attempt, 241118_worm_3
632.0, 638.0, 6.0, L2L, attempt, 241118_worm_3
786.0, 944.0, 158.0, L2L, attempt, 241118_worm_3
1042.0, 1054.0, 12.0, L2L, attempt, 241118_worm_3
1098.0, 1112.0, 14.0, L2L, attempt, 241118_worm_3
1116.0, 1140.0, 24.0, L2L, attempt, 241118_worm_3
1166.0, 1268.0, 102.0, L2L, attempt, 241118_worm_3
1270.0, 1276.0, 6.0, L2L, attempt, 241118_worm_3
1280.0, 1356.0, 76.0, L2L, attempt, 241118_worm_3
1358.0, 1384.0, 26.0, L2L, attempt, 241118_worm_3
128.0, 150.0, 22.0, L2L, attempt, 241118_worm_4
194.0, 224.0, 30.0, L2L, attempt, 241118_worm_4
426.0, 450.0, 24.0, L2L, attempt, 241118_worm_4
630.0, 652.0, 22.0, L2L, attempt, 241118_worm_4
754.0, 758.0, 4.0, L2L, attempt, 241118_worm_4
798.0, 820.0, 22.0, L2L, attempt, 241118_worm_4
822.0, 824.0, 2.0, L2L, attempt, 241118_worm_4
934.0, 936.0, 2.0, L2L, attempt, 241118_worm_4
1012.0, 1030.0, 18.0, L2L, attempt, 241118_worm_4
1032.0, 1034.0, 2.0, L2L, attempt, 241118_worm_4
1094.0, 1104.0, 10.0, L2L, attempt, 241118_worm_4
1110.0, 1142.0, 32.0, L2L, attempt, 241118_worm_4
1150.0, 1162.0, 12.0, L2L, attempt, 241118_worm_4
1344.0, 1358.0, 14.0, L2L, attempt, 241118_worm_4
1394.0, 1400.0, 6.0, L2L, attempt, 241118_worm_4
150.0, 192.0, 42.0, L2L, attempt, 241118_worm_5
416.0, 420.0, 4.0, L2L, attempt, 241118_worm_5
428.0, 498.0, 70.0, L2L, attempt, 241118_worm_5
612.0, 672.0, 60.0, L2L, attempt, 241118_worm_5
896.0, 898.0, 2.0, L2L, attempt, 241118_worm_5
900.0, 904.0, 4.0, L2L, attempt, 241118_worm_5
906.0, 1048.0, 142.0, L2L, attempt, 241118_worm_5
1170.0, 1172.0, 2.0, L2L, attempt, 241118_worm_5
1174.0, 1180.0, 6.0, L2L, attempt, 241118_worm_5
1186.0, 1282.0, 96.0, L2L, attempt, 241118_worm_5
1302.0, 1422.0, 120.0, L2L, attempt, 241118_worm_5
48.0, 68.0, 20.0, L2L, attempt, 241118_worm_6
70.0, 72.0, 2.0, L2L, attempt, 241118_worm_6
74.0, 148.0, 74.0, L2L, attempt, 241118_worm_6
154.0, 174.0, 20.0, L2L, attempt, 241118_worm_6
176.0, 212.0, 36.0, L2L, attempt, 241118_worm_6
222.0, 278.0, 56.0, L2L, attempt, 241118_worm_6
434.0, 438.0, 4.0, L2L, attempt, 241118_worm_6
440.0, 448.0, 8.0, L2L, attempt, 241118_worm_6
452.0, 476.0, 24.0, L2L, attempt, 241118_worm_6
492.0, 608.0, 116.0, L2L, attempt, 241118_worm_6
640.0, 654.0, 14.0, L2L, attempt, 241118_worm_6
668.0, 674.0, 6.0, L2L, attempt, 241118_worm_6
742.0, 798.0, 56.0, L2L, attempt, 241118_worm_6
882.0, 1118.0, 236.0, L2L, attempt, 241118_worm_6
1164.0, 1168.0, 4.0, L2L, attempt, 241118_worm_6
1200.0, 1202.0, 2.0, L2L, attempt, 241118_worm_6
