# Confinement Reference Dataset - Active Polymer N=40
#
# Reference base: H_conf (Shannon entropy in confinement, cavity only)
# All other observables fuzzy-matched with tolerance=0.05 on (Pe, T, kappa)
#
# Use this dataset when correlating confinement observables or mixed observables
# with emphasis on confinement data completeness.
#
# Columns:
# - Pe, T, kappa: simulation parameters (dimensionless)
# - H_free: Shannon entropy in free space
# - lp_free: Persistence length from averaged correlation (normalized)
# - lp_free_individual: Mean of individual polymer persistence lengths (normalized)
# - tau_decorr_free_full: E2E full-vector decorrelation time in free space (seconds)
# - tau_decorr_free_unit: E2E unit-vector decorrelation time in free space (seconds)
# - D_long: Long-time diffusion coefficient in free space (mm²/s)
# - H_conf: Shannon entropy in confinement, CAVITY ONLY (REFERENCE BASE)
# - lp_conf: Persistence length from averaged correlation in confinement (normalized)
# - lp_conf_individual: Mean of individual polymer persistence lengths in confinement (normalized)
# - ttrap: Mean trapping time in cavity (minutes)
# - tau_decorr_cavity_full: E2E full-vector decorrelation time in cavity ONLY (minutes)
# - tau_decorr_cavity_unit: E2E unit-vector decorrelation time in cavity ONLY (minutes)
#
# Rotational number analysis (plateau-based τ_trans):
# - N_rot: Rotational number = τ_rot / τ_trans
# - tau_trans: Saturation time = first crossing of MSD plateau mean (minutes)
# - plateau_mean: MSD plateau mean value (excludes last 20% of signal)
# - tau_rot: Rotational timescale = 1/D_r (minutes, only if α ∈ [0.8, 1.3])
#
# MSD matching RMSE (log-space, over [10-50s] interval):
# - RMSE_D10: RMSE vs experimental 10C MSD
# - RMSE_D20: RMSE vs experimental 20C MSD
# - RMSE_D30: RMSE vs experimental 30C MSD
#
Pe,T,kappa,H_free,lp_free,lp_free_error,lp_free_R2,lp_free_individual,lp_free_individual_std,tau_decorr_free_full,tau_decorr_free_full_error,tau_decorr_free_unit,tau_decorr_free_unit_error,D_long,D_long_error,D_long_R2,D_long_n_points,H_conf,lp_conf,lp_conf_error,lp_conf_R2,lp_conf_individual,ttrap,ttrap_std,tau_decorr_cavity_full,tau_decorr_cavity_unit,transloc_rate_per_hour,transloc_success_rate,transloc_n_success,transloc_n_attempts,transloc_total_events,N_rot,tau_trans,plateau_mean,tau_rot,RMSE_D10,RMSE_D20,RMSE_D30
0.100000,0.150000,0.400000,5.990474,0.134265,0.012500,0.986430,0.195883,0.153391,0.861833,0.008333,0.722439,0.008333,0.301506,0.000030,0.999998,201.000000,4.501854,0.112778,0.012500,0.981507,"(0.08738107852392997, 0.018673422676063364)",4.336021,3.579293,0.184846,0.162558,43.438914,92.307692,24.000000,2.000000,26.000000,0.270000,0.510000,7.100000,0.140000,0.666847,1.046632,1.129291
0.100000,0.150000,0.500000,,,,,,,,,,,,,,,5.281236,0.199034,0.012500,0.607012,"(0.1089874104366725, 0.062168294717862144)",5.158676,5.013998,0.503278,0.354601,28.978328,54.166667,39.000000,33.000000,72.000000,0.338000,0.510000,12.730000,0.170000,,,
0.100000,0.150000,0.650000,,,,,,,,,,,,,,,5.425754,0.263210,0.012500,0.441752,"(0.1336426025516954, 0.09359317105271235)",4.259916,3.664259,0.503883,0.347881,46.182495,77.500000,62.000000,18.000000,80.000000,0.373000,0.360000,12.100000,0.130000,,,
0.100000,0.200000,0.150000,,,,,,,,,,,,,,,4.572209,0.071852,0.012500,0.983853,"(0.07148672437191347, 0.04572278218995808)",,,0.191551,0.178749,,,,,,,0.800000,11.990000,0.000000,,,
0.100000,0.200000,0.250000,,,,,,,,,,,,,,,4.567308,0.089493,0.012500,0.905624,"(0.07263096378892203, 0.02818582058384045)",1.596667,0.984984,0.282976,0.244090,,,,,,,0.830000,12.970000,0.000000,,,
0.100000,0.200000,0.350000,,,,,,,,,,,,,,,4.492246,0.113254,0.012500,0.980883,"(0.08685074128209315, 0.046888258384690955)",1.562500,0.783599,0.189974,0.173925,,,,,,,0.430000,8.010000,0.000000,,,
0.100000,0.200000,0.400000,,,,,,,,,,,,,,,4.613229,0.076713,0.012500,0.987065,"(0.08052075924257035, 0.019238806868477766)",,,0.298931,0.233601,,,,,,,0.540000,12.420000,0.000000,,,
0.100000,0.200000,0.500000,,,,,,,,,,,,,,,4.550465,0.093908,0.012500,0.984776,"(0.08626219036868268, 0.01873114955719285)",2.977778,1.469983,0.205875,0.189449,,,,,,0.302000,0.350000,9.440000,0.110000,,,
0.100000,0.200000,0.650000,,,,,,,,,,,,,,,4.627152,0.111075,0.012500,0.975927,"(0.09341383792497125, 0.017856395530658722)",1.443750,0.632138,0.205385,0.183627,,,,,,,0.820000,10.550000,0.000000,,,
0.100000,0.300000,0.150000,,,,,,,,,,,,,,,4.507527,0.061808,0.012500,0.963552,"(0.05758634752522173, 0.018567288201419646)",,,0.277672,0.241459,,,,,,,0.520000,10.630000,0.000000,,,
0.100000,0.300000,0.250000,,,,,,,,,,,,,,,4.479597,0.069092,0.012500,0.972899,"(0.0651865624319241, 0.02351842673656873)",,,0.232987,0.214304,,,,,,0.520000,0.400000,10.390000,0.210000,,,
0.100000,0.300000,0.350000,,,,,,,,,,,,,,,3.840193,0.068177,0.012500,,"(0.07284567172845106, 0.013873617720803304)",,,0.159329,0.153697,,,,,,,0.370000,8.170000,0.000000,,,
0.100000,0.300000,0.400000,,,,,,,,,,,,,,,4.414831,0.073730,0.012500,0.986655,"(0.07062175122268391, 0.0212267190316207)",1.370000,0.948053,0.236792,0.217165,,,,,,,1.010000,11.850000,0.000000,,,
0.100000,0.300000,0.500000,,,,,,,,,,,,,,,4.710851,0.079301,0.012500,0.989958,"(0.07898642486777573, 0.028099735989733768)",,,0.256503,0.214925,,,,,,,1.070000,10.850000,0.000000,,,
0.100000,0.300000,0.650000,,,,,,,,,,,,,,,2.579844,0.079627,0.012500,,"(0.07711389428297868, 0.008807506860871566)",2.803333,1.567172,0.170779,0.151036,,,,,,,0.510000,10.120000,0.000000,,,
0.150000,0.020000,0.150000,,,,,,,,,,,,,,,1.958994,0.078321,0.012500,0.914372,"(0.07239258556909062, 0.016533933286971215)",2.846667,0.610601,0.088716,0.085521,,,,,,2.250000,0.170000,2.290000,0.380000,,,
0.150000,0.020000,0.250000,,,,,,,,,,,,,,,0.343052,0.068175,0.012500,0.901462,"(0.06841226148787839, 0.0009425369221597425)",2.120370,0.972639,0.078838,0.079008,9.458367,20.967742,13.000000,49.000000,62.000000,,0.180000,0.390000,0.000000,,,
0.150000,0.020000,0.350000,,,,,,,,,,,,,,,1.041696,0.070216,0.012500,0.899717,"(0.07056344450625555, 0.0089875463249443)",4.246341,4.316785,0.081878,0.081449,39.759036,73.333333,55.000000,20.000000,75.000000,,0.250000,1.490000,0.000000,,,
0.150000,0.020000,0.400000,,,,,,,,,,,,,,,0.727446,0.069396,0.012500,0.895146,"(0.06948008771057182, 0.0011085332311432626)",,,0.079080,0.079347,,,,,,,0.140000,0.490000,0.000000,,,
0.150000,0.020000,0.500000,,,,,,,,,,,,,,,0.968666,0.070072,0.012500,0.892223,"(0.07050055698862193, 0.001453191955330631)",5.880047,9.604902,0.079880,0.080221,46.227929,95.522388,64.000000,3.000000,67.000000,,0.140000,0.620000,0.000000,,,
0.150000,0.020000,0.650000,,,,,,,,,,,,,,,1.239367,0.071949,0.012500,,"(0.07332310369426077, 0.002541291557589068)",9.857292,14.642789,0.080664,0.080995,21.092279,100.000000,28.000000,0.000000,28.000000,,0.080000,0.510000,0.000000,,,
0.150000,0.040000,0.150000,,,,,,,,,,,,,,,4.269765,0.093607,0.012500,0.962743,"(0.0832726727333448, 0.02862554652991361)",2.846667,0.610601,0.125976,0.111734,,,,,,0.695000,0.250000,7.620000,0.170000,,,
0.150000,0.040000,0.250000,,,,,,,,,,,,,,,1.816466,0.076346,0.012500,0.906657,"(0.07141774328903402, 0.009610770785710833)",2.120370,0.972639,0.087770,0.084252,9.458367,20.967742,13.000000,49.000000,62.000000,,0.930000,2.140000,0.000000,,,
0.150000,0.040000,0.350000,,,,,,,,,,,,,,,1.961998,0.074797,0.012500,0.889460,"(0.07399145378614139, 0.016008241718387797)",4.246341,4.316785,0.087701,0.085229,39.759036,73.333333,55.000000,20.000000,75.000000,,0.250000,2.810000,0.000000,,,
0.150000,0.040000,0.400000,,,,,,,,,,,,,,,1.177281,0.070540,0.012500,0.866509,"(0.07056328534441951, 0.0014636666048526434)",,,0.081489,0.081670,,,,,,0.727000,0.610000,0.770000,0.440000,,,
0.150000,0.040000,0.500000,,,,,,,,,,,,,,,1.558622,0.071854,0.012500,,"(0.07193792392747608, 0.0020810677526870583)",5.880047,9.604902,0.082566,0.082734,46.227929,95.522388,64.000000,3.000000,67.000000,,0.130000,0.640000,0.000000,,,
0.150000,0.040000,0.650000,,,,,,,,,,,,,,,1.539632,0.074160,0.012500,0.860737,"(0.07371246902124871, 0.0024829370492729826)",9.857292,14.642789,0.084082,0.084107,21.092279,100.000000,28.000000,0.000000,28.000000,,0.630000,1.190000,0.000000,,,
0.150000,0.060000,0.150000,,,,,,,,,,,,,,,4.638054,0.080529,0.012500,0.963341,"(0.07629396512581323, 0.01665517330059234)",2.846667,0.610601,0.143460,0.128785,,,,,,0.868000,0.270000,7.490000,0.240000,,,
0.150000,0.060000,0.250000,5.695670,0.091828,0.012500,0.989064,0.109833,0.072438,0.726268,0.008333,0.437280,0.008333,0.135071,0.000181,0.999644,201.000000,4.439067,0.103756,0.012500,0.968620,"(0.08794347262302647, 0.03801163387779643)",2.120370,0.972639,0.140050,0.121876,9.458367,20.967742,13.000000,49.000000,62.000000,,0.220000,8.320000,0.000000,0.868019,1.248785,1.330525
0.150000,0.060000,0.400000,5.990474,0.134265,0.012500,0.986430,0.195883,0.153391,0.861833,0.008333,0.722439,0.008333,0.301506,0.000030,0.999998,201.000000,1.971823,0.072771,0.012500,,"(0.07251736116314107, 0.002859619378321016)",4.336021,3.579293,0.085916,0.085747,43.438914,92.307692,24.000000,2.000000,26.000000,,0.520000,1.060000,0.000000,0.666847,1.046632,1.129291
0.150000,0.080000,0.150000,,,,,,,,,,,,,,,4.630523,0.067264,0.012500,0.971030,"(0.0716889892696654, 0.015243251650050516)",2.846667,0.610601,0.170552,0.145965,,,,,,0.148000,1.520000,12.850000,0.230000,,,
0.150000,0.080000,0.250000,5.695670,0.091828,0.012500,0.989064,0.109833,0.072438,0.726268,0.008333,0.437280,0.008333,0.135071,0.000181,0.999644,201.000000,4.709433,0.097705,0.012500,0.969698,"(0.0854668624908046, 0.02362444235990027)",2.120370,0.972639,0.120056,0.099177,1.544070,3.448276,2.000000,56.000000,58.000000,0.131000,1.690000,10.560000,0.220000,0.868019,1.248785,1.330525
0.150000,0.080000,0.400000,5.990474,0.134265,0.012500,0.986430,0.195883,0.153391,0.861833,0.008333,0.722439,0.008333,0.301506,0.000030,0.999998,201.000000,4.366145,0.121944,0.012500,0.964784,"(0.09175899312078821, 0.04278018260058422)",4.336021,3.579293,0.118251,0.106714,43.438914,92.307692,24.000000,2.000000,26.000000,0.293000,0.260000,8.340000,0.080000,0.666847,1.046632,1.129291
0.150000,0.100000,0.150000,,,,,,,,,,,,,,,4.367945,0.069229,0.012500,0.980218,"(0.06950586883230268, 0.011961048541666297)",1.243334,0.798836,0.167392,0.136503,,,,,,0.393000,0.750000,9.450000,0.290000,,,
0.150000,0.100000,0.250000,5.695670,0.091828,0.012500,0.989064,0.109833,0.072438,0.726268,0.008333,0.437280,0.008333,0.135071,0.000181,0.999644,201.000000,4.478053,0.097353,0.012500,0.987296,"(0.08019947652193554, 0.01837990151874229)",2.120370,0.972639,0.138227,0.118677,6.378738,17.021277,8.000000,39.000000,47.000000,,0.640000,8.510000,0.000000,0.868019,1.248785,1.330525
